seq_name	Andrew	HMP	Extreme	sum taxonomy
read_56	1	0	0	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;;
read_57	1	0	0	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
read_58	1	0	0	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
read_59	0	1	0	Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes
read_60	0	1	0	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
read_61	0	1	0	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
read_62	0	1	0	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans
read_63	0	1	0	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
read_64	0	1	0	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
read_65	0	1	0	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis
read_66	0	1	0	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
read_67	0	1	0	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
read_68	0	1	0	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;
read_69	0	1	0	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
read_70	0	1	0	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
read_71	0	1	0	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
read_72	0	1	0	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Rhodobacter sphaeroides
read_73	0	1	0	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii
read_74	0	1	0	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
read_75	0	1	0	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri
