	taxon	land1_x	land2_x	land3_x	sea1_x	sea2_x	sea3_x	land4	land5	land6	sea4	sea5	sea6	land1_y	land2_y	land3_y	sea1_y	sea2_y	sea3_y
123	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	29.0
124	Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus striatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
125	Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3626.0	0.0	0.0
126	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.0	2173.0	1006.0
127	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	10.0	954.0	251.0	397.0
128	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	16.0	0.0	5322.0
129	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	15.0	9290.0	4349.0	3634.0
130	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialu;Medialuna californiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	17.0	15.0	9393.0	1785.0	6359.0
131	Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	772.0	0.0
132	Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
133	Chordata;Actinopteri;Gobiiformes;Gobiidae;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	831.0	73.0	0.0
134	Chordata;Actinopteri;Gobiiformes;Gobiidae;Gillichthys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
135	Chordata;Actinopteri;Labriformes;Labridae;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0	0.0	0.0	0.0	11.0
136	Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses twistii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
137	Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus frenatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0
138	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma hardwicke	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
139	Chordata;Actinopteri;Labriformes;Odacidae;Neoodax;Neoodax balteatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
140	Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Dipterygonotus;Dipterygonotus balteatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
141	Chordata;Actinopteri;Myctophiformes;Myctophidae;Stenobrachius;Stenobrachius nannochir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
142	Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	27.0
143	Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0
144	Chordata;Actinopteri;Perciformes;Cottidae;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
145	Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus filamentosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3374.0	0.0	0.0
146	Chordata;Actinopteri;Perciformes;Liparidae;Liparis;Liparis mucosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	11.0	0.0
147	Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8969.0	0.0	0.0
148	Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
149	Chordata;Aves;Pelecaniformes;Sulidae;Sula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5480.0	0.0	2.0
150	Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus melanopterus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0
151	Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	12.0	1.0
152	Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;Raja binoculata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	14.0	99.0
153	Chordata;Mammalia;Cetacea;Delphinidae;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0
154	Chordata;Mammalia;Cetacea;Delphinidae;Steno;Steno bredanensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
155	Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca fascicularis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
