12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
reverse_12S_48	259	5	0	0	0	13	277		reverse		
reverse_12S_49	188	23	0	0	0	45	256		reverse		
merged_12S_67	0	0	0	0	253	0	253			merged	
reverse_12S_50	127	46	0	0	0	80	253		reverse		
reverse_12S_51	233	12	0	0	0	3	248		reverse		
reverse_12S_52	46	44	0	0	0	156	246		reverse		
reverse_12S_53	63	45	0	0	0	134	242		reverse		
reverse_12S_54	41	35	0	0	0	152	228		reverse		
reverse_12S_55	60	8	0	0	0	159	227		reverse		
reverse_12S_56	53	42	0	0	0	131	226		reverse		
reverse_12S_57	51	36	0	0	0	138	225		reverse		
reverse_12S_58	49	6	0	0	0	169	224		reverse		
reverse_12S_59	190	7	0	0	0	24	221		reverse		
merged_12S_68	0	0	20	13	186	0	219			merged	Chordata;Actinopteri;;Opistognathidae;Opistognathus;
reverse_12S_60	85	9	0	0	0	119	213		reverse		
reverse_12S_61	90	15	0	0	0	106	211		reverse		
reverse_12S_62	108	6	0	0	0	93	207		reverse		
merged_12S_69	0	0	0	206	0	0	206			merged	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
reverse_12S_63	168	16	0	0	0	22	206		reverse		
reverse_12S_64	155	18	1	0	1	31	206		reverse		
merged_12S_70	0	0	0	0	205	0	205			merged	Chordata;Actinopteri;;;;
reverse_12S_65	197	1	0	0	1	4	203		reverse		
merged_12S_71	0	0	0	0	200	0	200			merged	Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;
reverse_12S_66	37	66	0	0	1	94	198		reverse		
reverse_12S_67	149	14	0	0	0	33	196		reverse		
reverse_12S_68	49	26	0	0	0	120	195		reverse		
reverse_12S_69	76	31	0	0	0	85	192		reverse		
reverse_12S_70	33	42	0	0	0	117	192		reverse		
reverse_12S_71	100	15	0	0	0	76	191		reverse		
reverse_12S_72	173	11	0	0	0	4	188		reverse		
reverse_12S_73	55	37	0	0	0	96	188		reverse		
merged_12S_72	0	0	186	0	0	0	186			merged	
merged_12S_73	0	0	0	0	184	0	184			merged	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
reverse_12S_74	40	21	0	0	0	119	180		reverse		
reverse_12S_75	26	8	0	0	0	145	179		reverse		
