12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
forward_12S_32	0	0	0	3	11	0	14	forward			
merged_12S_135	14	0	0	0	0	0	14			merged	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;
merged_12S_136	0	0	0	0	14	0	14			merged	
reverse_12S_739	14	0	0	0	0	0	14		reverse		
reverse_12S_740	14	0	0	0	0	0	14		reverse		
reverse_12S_741	14	0	0	0	0	0	14		reverse		
reverse_12S_742	14	0	0	0	0	0	14		reverse		
reverse_12S_743	14	0	0	0	0	0	14		reverse		
reverse_12S_744	14	0	0	0	0	0	14		reverse		
reverse_12S_745	14	0	0	0	0	0	14		reverse		
reverse_12S_746	13	1	0	0	0	0	14		reverse		
reverse_12S_747	13	1	0	0	0	0	14		reverse		
reverse_12S_748	13	1	0	0	0	0	14		reverse		
reverse_12S_749	12	0	0	0	0	2	14		reverse		
reverse_12S_750	12	0	0	0	0	2	14		reverse		
reverse_12S_751	10	0	0	0	0	4	14		reverse		
reverse_12S_752	9	0	0	0	0	5	14		reverse		
reverse_12S_753	9	1	0	0	0	4	14		reverse		
reverse_12S_754	9	0	0	0	0	5	14		reverse		
reverse_12S_755	8	2	0	0	0	4	14		reverse		
reverse_12S_756	8	1	0	0	0	5	14		reverse		
reverse_12S_757	8	0	0	0	0	6	14		reverse		
reverse_12S_758	8	4	0	0	0	2	14		reverse		
reverse_12S_759	7	0	0	0	0	7	14		reverse		
reverse_12S_760	7	1	0	0	0	6	14		reverse		
reverse_12S_761	6	2	0	0	0	6	14		reverse		
reverse_12S_762	6	7	0	0	0	1	14		reverse		
reverse_12S_763	6	5	0	0	0	3	14		reverse		
reverse_12S_764	6	2	0	0	0	6	14		reverse		
reverse_12S_765	6	6	0	0	0	2	14		reverse		
reverse_12S_766	6	1	0	0	0	7	14		reverse		
reverse_12S_767	5	1	0	0	0	8	14		reverse		
reverse_12S_768	5	0	0	0	0	9	14		reverse		
reverse_12S_769	5	4	0	0	0	5	14		reverse		
reverse_12S_770	5	5	0	0	0	4	14		reverse		
reverse_12S_771	5	2	0	0	0	7	14		reverse		
reverse_12S_772	5	0	0	0	0	9	14		reverse		
reverse_12S_773	5	0	0	0	0	9	14		reverse		
reverse_12S_774	5	1	0	0	0	8	14		reverse		
reverse_12S_775	4	3	0	0	0	7	14		reverse		
reverse_12S_776	4	2	0	0	0	8	14		reverse		
reverse_12S_777	3	0	0	0	0	11	14		reverse		
reverse_12S_778	3	7	0	0	0	4	14		reverse		
reverse_12S_779	3	4	0	0	0	7	14		reverse		
reverse_12S_780	3	0	0	0	0	11	14		reverse		
reverse_12S_781	3	4	0	0	1	6	14		reverse		
reverse_12S_782	2	6	0	0	0	6	14		reverse		
reverse_12S_783	2	1	0	0	0	11	14		reverse		
reverse_12S_784	2	2	0	0	0	10	14		reverse		
reverse_12S_785	2	1	0	0	0	11	14		reverse		
reverse_12S_786	2	6	0	0	0	6	14		reverse		
reverse_12S_787	1	5	0	0	0	8	14		reverse		
reverse_12S_788	1	1	0	0	0	12	14		reverse		
reverse_12S_789	1	0	0	0	0	13	14		reverse		
reverse_12S_790	0	1	0	0	0	13	14		reverse		
forward_12S_33	0	0	13	0	0	0	13	forward			
forward_12S_34	0	0	7	3	3	0	13	forward			
forward_12S_35	0	0	6	3	4	0	13	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_12S_36	0	0	0	0	13	0	13	forward			Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
merged_12S_137	0	0	8	0	5	0	13			merged	
reverse_12S_791	13	0	0	0	0	0	13		reverse		
reverse_12S_792	13	0	0	0	0	0	13		reverse		
reverse_12S_793	13	0	0	0	0	0	13		reverse		
reverse_12S_794	12	1	0	0	0	0	13		reverse		
reverse_12S_795	12	1	0	0	0	0	13		reverse		
reverse_12S_796	10	1	0	0	0	2	13		reverse		
reverse_12S_797	10	1	0	0	1	1	13		reverse		
reverse_12S_798	9	1	0	0	0	3	13		reverse		
reverse_12S_799	7	2	0	0	0	4	13		reverse		
reverse_12S_800	7	1	0	0	0	5	13		reverse		
reverse_12S_801	7	1	0	0	0	5	13		reverse		
reverse_12S_802	6	0	0	0	0	7	13		reverse		
reverse_12S_803	6	4	0	0	0	3	13		reverse		
reverse_12S_804	6	2	0	0	0	5	13		reverse		
reverse_12S_805	6	4	0	0	0	3	13		reverse		
reverse_12S_806	6	0	0	0	0	7	13		reverse		
reverse_12S_807	5	3	0	0	0	5	13		reverse		
reverse_12S_808	5	3	0	0	0	5	13		reverse		
reverse_12S_809	5	0	0	0	0	8	13		reverse		
reverse_12S_810	5	6	0	0	0	2	13		reverse		
reverse_12S_811	5	4	0	0	0	4	13		reverse		
reverse_12S_812	5	0	0	0	0	8	13		reverse		
reverse_12S_813	4	3	0	0	0	6	13		reverse		
reverse_12S_814	4	0	0	0	0	9	13		reverse		
reverse_12S_815	4	0	0	0	0	9	13		reverse		
reverse_12S_816	4	6	0	0	0	3	13		reverse		
reverse_12S_817	3	1	0	0	0	9	13		reverse		
reverse_12S_818	3	3	0	0	0	7	13		reverse		
reverse_12S_819	3	0	0	0	0	10	13		reverse		
reverse_12S_820	3	6	0	0	0	4	13		reverse		
reverse_12S_821	3	0	0	0	0	10	13		reverse		
reverse_12S_822	3	0	0	0	0	10	13		reverse		
reverse_12S_823	2	7	0	0	0	4	13		reverse		
reverse_12S_824	2	1	0	0	0	10	13		reverse		
reverse_12S_825	2	3	0	0	0	8	13		reverse		
reverse_12S_826	2	4	0	0	0	7	13		reverse		
reverse_12S_827	2	2	0	0	0	9	13		reverse		
reverse_12S_828	2	2	0	0	0	9	13		reverse		
reverse_12S_829	1	1	0	0	0	11	13		reverse		
reverse_12S_830	1	0	0	0	0	12	13		reverse		
reverse_12S_831	1	1	0	0	0	11	13		reverse		
reverse_12S_832	1	1	0	0	0	11	13		reverse		
reverse_12S_833	1	10	0	0	0	2	13		reverse		
reverse_12S_834	0	8	0	0	0	5	13		reverse		
merged_12S_138	0	0	12	0	0	0	12			merged	
merged_12S_139	0	0	0	12	0	0	12			merged	
merged_12S_140	0	0	0	0	12	0	12			merged	
reverse_12S_835	12	0	0	0	0	0	12		reverse		
reverse_12S_836	12	0	0	0	0	0	12		reverse		
reverse_12S_837	12	0	0	0	0	0	12		reverse		
reverse_12S_838	12	0	0	0	0	0	12		reverse		
reverse_12S_839	12	0	0	0	0	0	12		reverse		
reverse_12S_840	11	1	0	0	0	0	12		reverse		
reverse_12S_841	10	0	0	0	0	2	12		reverse		
reverse_12S_842	10	0	0	0	0	2	12		reverse		
reverse_12S_843	10	0	0	0	0	2	12		reverse		
reverse_12S_844	9	1	0	0	0	2	12		reverse		
reverse_12S_845	8	0	0	0	0	4	12		reverse		
reverse_12S_846	8	3	0	0	0	1	12		reverse		
reverse_12S_847	7	0	0	0	0	5	12		reverse		
reverse_12S_848	7	1	0	0	0	4	12		reverse		
reverse_12S_849	7	0	0	0	0	5	12		reverse		
reverse_12S_850	7	1	0	0	0	4	12		reverse		
reverse_12S_851	6	0	0	0	0	6	12		reverse		
reverse_12S_852	6	5	0	0	0	1	12		reverse		
reverse_12S_853	6	1	0	0	0	5	12		reverse		
reverse_12S_854	6	1	0	0	0	5	12		reverse		
reverse_12S_855	6	1	0	0	0	5	12		reverse		
reverse_12S_856	5	3	0	0	0	4	12		reverse		
reverse_12S_857	5	0	0	0	0	7	12		reverse		
reverse_12S_858	5	3	0	0	0	4	12		reverse		
reverse_12S_859	5	0	0	0	0	7	12		reverse		
reverse_12S_860	4	1	0	0	0	7	12		reverse		
reverse_12S_861	4	2	0	0	0	6	12		reverse		
reverse_12S_862	4	3	0	0	0	5	12		reverse		
reverse_12S_863	4	4	0	0	0	4	12		reverse		
reverse_12S_864	4	0	0	0	0	8	12		reverse		
reverse_12S_865	3	0	0	0	0	9	12		reverse		
reverse_12S_866	3	2	0	0	0	7	12		reverse		
reverse_12S_867	2	5	0	0	0	5	12		reverse		
reverse_12S_868	2	3	0	0	0	7	12		reverse		
reverse_12S_869	2	0	0	0	0	10	12		reverse		
reverse_12S_870	2	0	0	0	0	10	12		reverse		
reverse_12S_871	1	0	0	0	0	11	12		reverse		
reverse_12S_872	1	0	0	0	0	11	12		reverse		
reverse_12S_873	1	0	0	0	0	11	12		reverse		
reverse_12S_874	0	12	0	0	0	0	12		reverse		
reverse_12S_875	0	7	0	0	0	5	12		reverse		
reverse_12S_876	0	0	0	0	0	12	12		reverse		
reverse_12S_877	0	0	0	0	0	12	12		reverse		
forward_12S_37	0	0	10	1	0	0	11	forward			
forward_12S_38	0	0	5	5	1	0	11	forward			
forward_12S_39	0	0	2	8	1	0	11	forward			Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;;
forward_12S_40	0	0	0	4	7	0	11	forward			Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;
merged_12S_141	11	0	0	0	0	0	11			merged	Chordata;Actinopteri;Labriformes;Labridae;Hologymnosus;Hologymnosus doliatus
merged_12S_142	0	0	0	11	0	0	11			merged	
merged_12S_143	0	0	0	11	0	0	11			merged	
reverse_12S_878	11	0	0	0	0	0	11		reverse		
reverse_12S_879	11	0	0	0	0	0	11		reverse		
reverse_12S_880	11	0	0	0	0	0	11		reverse		
reverse_12S_881	11	0	0	0	0	0	11		reverse		
reverse_12S_882	11	0	0	0	0	0	11		reverse		
reverse_12S_883	11	0	0	0	0	0	11		reverse		
reverse_12S_884	11	0	0	0	0	0	11		reverse		
reverse_12S_885	10	0	0	0	0	1	11		reverse		
reverse_12S_886	9	2	0	0	0	0	11		reverse		
reverse_12S_887	9	0	0	0	0	2	11		reverse		
reverse_12S_888	9	2	0	0	0	0	11		reverse		
reverse_12S_889	9	0	0	0	0	2	11		reverse		
reverse_12S_890	8	0	0	0	0	3	11		reverse		
reverse_12S_891	7	2	0	0	0	2	11		reverse		
reverse_12S_892	7	3	0	0	0	1	11		reverse		
reverse_12S_893	7	1	0	0	0	3	11		reverse		
reverse_12S_894	7	0	0	0	0	4	11		reverse		
reverse_12S_895	7	2	0	0	0	2	11		reverse		
reverse_12S_896	7	1	0	0	0	3	11		reverse		
reverse_12S_897	7	1	0	0	0	3	11		reverse		
reverse_12S_898	7	1	0	0	0	3	11		reverse		
reverse_12S_899	6	1	0	0	0	4	11		reverse		
reverse_12S_900	6	1	0	0	0	4	11		reverse		
reverse_12S_901	6	0	0	0	0	5	11		reverse		
reverse_12S_902	6	1	0	0	0	4	11		reverse		
reverse_12S_903	5	2	0	0	0	4	11		reverse		
reverse_12S_904	5	3	0	0	0	3	11		reverse		
reverse_12S_905	5	1	0	0	0	5	11		reverse		
reverse_12S_906	5	0	0	0	0	6	11		reverse		
reverse_12S_907	4	1	0	0	0	6	11		reverse		
reverse_12S_908	4	2	0	0	0	5	11		reverse		
reverse_12S_909	4	1	0	0	0	6	11		reverse		
reverse_12S_910	4	3	0	0	0	4	11		reverse		
reverse_12S_911	4	2	0	0	0	5	11		reverse		
reverse_12S_912	4	1	0	0	0	6	11		reverse		
reverse_12S_913	3	0	0	0	0	8	11		reverse		
reverse_12S_914	3	3	0	0	0	5	11		reverse		
reverse_12S_915	3	4	0	0	0	4	11		reverse		
reverse_12S_916	3	2	0	0	0	6	11		reverse		
reverse_12S_917	3	2	0	0	0	6	11		reverse		
reverse_12S_918	3	1	0	0	0	7	11		reverse		
reverse_12S_919	3	4	0	0	0	4	11		reverse		
reverse_12S_920	2	5	0	0	0	4	11		reverse		
reverse_12S_921	2	4	0	0	0	5	11		reverse		
reverse_12S_922	2	0	0	0	0	9	11		reverse		
reverse_12S_923	2	2	0	0	0	7	11		reverse		
reverse_12S_924	2	3	0	0	0	6	11		reverse		
reverse_12S_925	2	1	0	0	0	8	11		reverse		
reverse_12S_926	2	7	0	0	0	2	11		reverse		
reverse_12S_927	1	0	0	0	0	10	11		reverse		
reverse_12S_928	1	2	0	0	0	8	11		reverse		
reverse_12S_929	1	1	0	0	0	9	11		reverse		
reverse_12S_930	1	6	0	0	0	4	11		reverse		
reverse_12S_931	1	0	0	0	0	10	11		reverse		
reverse_12S_932	1	1	0	0	0	9	11		reverse		
reverse_12S_933	1	1	0	0	0	9	11		reverse		
reverse_12S_934	0	4	0	0	0	7	11		reverse		
reverse_12S_935	0	1	0	0	0	10	11		reverse		
reverse_12S_936	0	0	0	0	0	11	11		reverse		
reverse_12S_937	0	0	0	0	0	11	11		reverse		
forward_12S_41	0	0	8	2	0	0	10	forward			
forward_12S_42	0	0	5	1	4	0	10	forward			Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus
forward_12S_43	0	0	2	8	0	0	10	forward			
forward_12S_44	0	0	0	0	10	0	10	forward			Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
reverse_12S_938	10	0	0	0	0	0	10		reverse		
reverse_12S_939	10	0	0	0	0	0	10		reverse		
reverse_12S_940	10	0	0	0	0	0	10		reverse		
reverse_12S_941	10	0	0	0	0	0	10		reverse		
reverse_12S_942	10	0	0	0	0	0	10		reverse		
reverse_12S_943	10	0	0	0	0	0	10		reverse		
reverse_12S_944	10	0	0	0	0	0	10		reverse		
reverse_12S_945	10	0	0	0	0	0	10		reverse		
reverse_12S_946	10	0	0	0	0	0	10		reverse		
reverse_12S_947	9	1	0	0	0	0	10		reverse		
reverse_12S_948	9	0	0	0	0	1	10		reverse		
reverse_12S_949	8	2	0	0	0	0	10		reverse		
reverse_12S_950	8	1	0	0	0	1	10		reverse		
reverse_12S_951	8	0	0	0	0	2	10		reverse		
reverse_12S_952	8	1	0	0	0	1	10		reverse		
reverse_12S_953	7	2	0	0	0	1	10		reverse		
reverse_12S_954	7	0	0	0	1	2	10		reverse		
reverse_12S_955	7	0	0	0	0	3	10		reverse		
reverse_12S_956	7	2	0	0	0	1	10		reverse		
reverse_12S_957	6	0	0	0	0	4	10		reverse		
reverse_12S_958	6	0	0	0	0	4	10		reverse		
reverse_12S_959	6	1	0	0	0	3	10		reverse		
reverse_12S_960	6	1	0	0	0	3	10		reverse		
reverse_12S_961	5	1	0	0	0	4	10		reverse		
reverse_12S_962	5	0	0	0	0	5	10		reverse		
reverse_12S_963	5	2	0	0	0	3	10		reverse		
reverse_12S_964	4	0	0	0	0	6	10		reverse		
reverse_12S_965	4	0	0	0	0	6	10		reverse		
reverse_12S_966	4	1	0	0	0	5	10		reverse		
reverse_12S_967	4	0	0	0	0	6	10		reverse		
reverse_12S_968	4	0	0	0	0	6	10		reverse		
reverse_12S_969	4	2	0	0	0	4	10		reverse		
reverse_12S_970	4	0	0	0	0	6	10		reverse		
reverse_12S_971	4	0	0	0	0	6	10		reverse		
reverse_12S_972	4	4	0	0	0	2	10		reverse		
reverse_12S_973	4	0	0	0	0	6	10		reverse		
reverse_12S_974	3	2	0	0	0	5	10		reverse		
reverse_12S_975	3	0	0	0	0	7	10		reverse		
reverse_12S_976	3	0	0	0	0	7	10		reverse		
reverse_12S_977	3	0	0	0	0	7	10		reverse		
reverse_12S_978	3	3	0	0	0	4	10		reverse		
reverse_12S_979	3	2	0	0	0	5	10		reverse		
reverse_12S_980	3	3	0	0	0	4	10		reverse		
reverse_12S_981	3	4	0	0	0	3	10		reverse		
reverse_12S_982	3	0	0	0	0	7	10		reverse		
reverse_12S_983	3	2	0	0	0	5	10		reverse		
reverse_12S_984	3	0	0	0	0	7	10		reverse		
reverse_12S_985	2	0	0	0	0	8	10		reverse		
reverse_12S_986	2	0	0	0	0	8	10		reverse		
reverse_12S_987	2	3	0	0	0	5	10		reverse		
reverse_12S_988	2	2	0	0	0	6	10		reverse		
reverse_12S_989	2	0	0	0	0	8	10		reverse		
reverse_12S_990	2	0	0	0	0	8	10		reverse		
reverse_12S_991	2	0	0	0	0	8	10		reverse		
reverse_12S_992	2	0	0	0	0	8	10		reverse		
reverse_12S_993	1	1	0	0	0	8	10		reverse		
reverse_12S_994	1	6	0	0	0	3	10		reverse		
reverse_12S_995	1	5	0	0	0	4	10		reverse		
reverse_12S_996	1	1	0	0	0	8	10		reverse		
reverse_12S_997	1	3	0	0	0	6	10		reverse		
reverse_12S_998	1	1	0	0	0	8	10		reverse		
reverse_12S_999	1	2	0	0	0	7	10		reverse		
reverse_12S_1000	1	1	0	0	0	8	10		reverse		
reverse_12S_1001	1	2	0	0	0	7	10		reverse		
reverse_12S_1002	1	0	0	0	0	9	10		reverse		
reverse_12S_1003	1	1	0	0	0	8	10		reverse		
reverse_12S_1004	1	3	0	0	0	6	10		reverse		
reverse_12S_1005	1	0	0	0	0	9	10		reverse		
reverse_12S_1006	1	0	0	0	0	9	10		reverse		
reverse_12S_1007	0	3	0	0	0	7	10		reverse		
reverse_12S_1008	0	2	0	0	0	8	10		reverse		
reverse_12S_1009	0	2	0	0	0	8	10		reverse		
reverse_12S_1010	0	1	0	0	0	9	10		reverse		
reverse_12S_1011	0	1	0	0	9	0	10		reverse		Chordata;Actinopteri;Labriformes;Labridae;;
reverse_12S_1012	0	0	0	0	0	10	10		reverse		
reverse_12S_1013	0	0	0	0	0	10	10		reverse		
reverse_12S_1014	0	0	0	0	0	10	10		reverse		
reverse_12S_1015	0	0	0	0	0	10	10		reverse		
reverse_12S_1016	0	0	0	0	0	10	10		reverse		
reverse_12S_1017	0	0	0	0	0	10	10		reverse		
forward_12S_45	0	0	9	0	0	0	9	forward			
forward_12S_46	0	0	9	0	0	0	9	forward			Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei
forward_12S_47	0	0	0	0	9	0	9	forward			Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;
merged_12S_144	9	0	0	0	0	0	9			merged	Chordata;Actinopteri;Labriformes;Labridae;Pseudocheilinus;Pseudocheilinus hexataenia
merged_12S_145	9	0	0	0	0	0	9			merged	Chordata;Actinopteri;Tetraodontiformes;Balistidae;Rhinecanthus;Rhinecanthus lunula
merged_12S_146	0	0	0	0	9	0	9			merged	Chordata;Actinopteri;;;;
reverse_12S_1018	9	0	0	0	0	0	9		reverse		
reverse_12S_1019	9	0	0	0	0	0	9		reverse		
reverse_12S_1020	9	0	0	0	0	0	9		reverse		
reverse_12S_1021	9	0	0	0	0	0	9		reverse		
reverse_12S_1022	9	0	0	0	0	0	9		reverse		
reverse_12S_1023	9	0	0	0	0	0	9		reverse		
reverse_12S_1024	9	0	0	0	0	0	9		reverse		
reverse_12S_1025	9	0	0	0	0	0	9		reverse		
reverse_12S_1026	9	0	0	0	0	0	9		reverse		
reverse_12S_1027	9	0	0	0	0	0	9		reverse		
reverse_12S_1028	9	0	0	0	0	0	9		reverse		
reverse_12S_1029	8	0	0	0	0	1	9		reverse		
reverse_12S_1030	7	0	0	0	0	2	9		reverse		
reverse_12S_1031	6	2	0	0	0	1	9		reverse		
reverse_12S_1032	6	0	0	0	0	3	9		reverse		
reverse_12S_1033	6	0	0	0	0	3	9		reverse		
reverse_12S_1034	5	0	0	0	0	4	9		reverse		
reverse_12S_1035	5	1	0	0	0	3	9		reverse		
reverse_12S_1036	5	1	0	0	0	3	9		reverse		
reverse_12S_1037	5	0	0	0	0	4	9		reverse		
reverse_12S_1038	5	0	0	0	0	4	9		reverse		
reverse_12S_1039	5	1	0	0	1	2	9		reverse		
reverse_12S_1040	5	0	0	0	0	4	9		reverse		
reverse_12S_1041	5	2	0	0	0	2	9		reverse		
reverse_12S_1042	5	3	0	0	0	1	9		reverse		
reverse_12S_1043	5	3	0	0	0	1	9		reverse		
reverse_12S_1044	5	1	0	0	0	3	9		reverse		
reverse_12S_1045	5	0	0	0	0	4	9		reverse		
reverse_12S_1046	4	1	0	0	0	4	9		reverse		
reverse_12S_1047	4	2	0	0	1	2	9		reverse		
reverse_12S_1048	4	1	0	0	0	4	9		reverse		
reverse_12S_1049	4	3	0	0	0	2	9		reverse		
reverse_12S_1050	4	0	0	0	0	5	9		reverse		
reverse_12S_1051	4	3	0	0	0	2	9		reverse		
reverse_12S_1052	4	3	0	0	0	2	9		reverse		
reverse_12S_1053	4	1	0	0	0	4	9		reverse		
reverse_12S_1054	4	2	0	0	0	3	9		reverse		
reverse_12S_1055	4	1	0	0	0	4	9		reverse		
reverse_12S_1056	4	0	0	0	0	5	9		reverse		
reverse_12S_1057	4	0	0	0	0	5	9		reverse		
reverse_12S_1058	4	2	0	0	0	3	9		reverse		
reverse_12S_1059	4	1	0	0	0	4	9		reverse		
reverse_12S_1060	4	0	0	0	0	5	9		reverse		
reverse_12S_1061	3	0	0	0	0	6	9		reverse		
reverse_12S_1062	3	0	0	0	0	6	9		reverse		
reverse_12S_1063	3	2	0	0	0	4	9		reverse		
reverse_12S_1064	3	2	0	0	0	4	9		reverse		
reverse_12S_1065	3	2	0	0	0	4	9		reverse		
reverse_12S_1066	3	1	0	0	0	5	9		reverse		
reverse_12S_1067	3	2	0	0	0	4	9		reverse		
reverse_12S_1068	3	5	0	0	0	1	9		reverse		
reverse_12S_1069	3	0	0	0	0	6	9		reverse		
reverse_12S_1070	2	0	0	0	0	7	9		reverse		
reverse_12S_1071	2	3	0	0	0	4	9		reverse		
reverse_12S_1072	2	5	0	0	0	2	9		reverse		
reverse_12S_1073	2	2	0	0	0	5	9		reverse		
reverse_12S_1074	2	2	0	0	0	5	9		reverse		
reverse_12S_1075	2	3	0	0	0	4	9		reverse		
reverse_12S_1076	2	3	0	0	0	4	9		reverse		
reverse_12S_1077	2	2	0	0	0	5	9		reverse		
reverse_12S_1078	2	0	0	0	0	7	9		reverse		
reverse_12S_1079	2	0	0	0	0	7	9		reverse		
reverse_12S_1080	2	1	0	0	0	6	9		reverse		
reverse_12S_1081	2	1	0	0	0	6	9		reverse		
reverse_12S_1082	2	3	0	0	0	4	9		reverse		
reverse_12S_1083	1	0	0	0	0	8	9		reverse		
reverse_12S_1084	1	1	0	0	0	7	9		reverse		
reverse_12S_1085	1	2	0	0	0	6	9		reverse		
reverse_12S_1086	1	0	0	0	0	8	9		reverse		
reverse_12S_1087	1	2	0	0	0	6	9		reverse		
reverse_12S_1088	1	2	0	0	0	6	9		reverse		
reverse_12S_1089	1	2	0	0	1	5	9		reverse		
reverse_12S_1090	1	4	0	0	0	4	9		reverse		
reverse_12S_1091	1	2	0	0	0	6	9		reverse		
reverse_12S_1092	1	2	0	0	0	6	9		reverse		
reverse_12S_1093	1	5	0	0	0	3	9		reverse		
reverse_12S_1094	1	3	0	0	0	5	9		reverse		
reverse_12S_1095	1	0	0	0	0	8	9		reverse		
reverse_12S_1096	1	0	0	0	0	8	9		reverse		
reverse_12S_1097	1	1	0	0	0	7	9		reverse		
reverse_12S_1098	1	6	0	0	0	2	9		reverse		
reverse_12S_1099	1	2	0	0	0	6	9		reverse		
reverse_12S_1100	0	6	0	0	0	3	9		reverse		
reverse_12S_1101	0	6	0	0	0	3	9		reverse		
reverse_12S_1102	0	5	0	0	0	4	9		reverse		
reverse_12S_1103	0	2	0	0	0	7	9		reverse		
reverse_12S_1104	0	1	0	0	0	8	9		reverse		
reverse_12S_1105	0	0	0	0	0	9	9		reverse		
reverse_12S_1106	0	0	0	0	0	9	9		reverse		
reverse_12S_1107	0	0	0	0	0	9	9		reverse		
reverse_12S_1108	0	0	0	0	0	9	9		reverse		
reverse_12S_1109	0	0	0	0	0	9	9		reverse		
reverse_12S_1110	0	0	0	0	0	9	9		reverse		
reverse_12S_1111	0	0	0	0	0	9	9		reverse		
reverse_12S_1112	0	0	0	0	0	9	9		reverse		
reverse_12S_1113	0	0	0	0	0	9	9		reverse		
forward_12S_48	0	0	7	1	0	0	8	forward			
forward_12S_49	0	0	6	2	0	0	8	forward			
forward_12S_50	0	0	3	5	0	0	8	forward			
forward_12S_51	0	0	3	4	1	0	8	forward			Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus
forward_12S_52	0	0	0	2	6	0	8	forward			
merged_12S_147	8	0	0	0	0	0	8			merged	Chordata;Mammalia;Cetacea;Delphinidae;Steno;Steno bredanensis
merged_12S_148	0	0	0	0	8	0	8			merged	Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
merged_12S_149	0	0	0	0	8	0	8			merged	Chordata;Actinopteri;;Pomacentridae;Chrysiptera;Chrysiptera leucopoma
merged_12S_150	0	0	0	0	8	0	8			merged	Chordata;Actinopteri;Syngnathiformes;Mullidae;Mulloidichthys;Mulloidichthys vanicolensis
reverse_12S_1114	8	0	0	0	0	0	8		reverse		
reverse_12S_1115	8	0	0	0	0	0	8		reverse		
reverse_12S_1116	8	0	0	0	0	0	8		reverse		
reverse_12S_1117	8	0	0	0	0	0	8		reverse		
reverse_12S_1118	8	0	0	0	0	0	8		reverse		
reverse_12S_1119	8	0	0	0	0	0	8		reverse		
reverse_12S_1120	8	0	0	0	0	0	8		reverse		
reverse_12S_1121	8	0	0	0	0	0	8		reverse		
reverse_12S_1122	8	0	0	0	0	0	8		reverse		
reverse_12S_1123	8	0	0	0	0	0	8		reverse		
reverse_12S_1124	8	0	0	0	0	0	8		reverse		
reverse_12S_1125	8	0	0	0	0	0	8		reverse		
reverse_12S_1126	7	1	0	0	0	0	8		reverse		
reverse_12S_1127	7	1	0	0	0	0	8		reverse		
reverse_12S_1128	7	1	0	0	0	0	8		reverse		
reverse_12S_1129	7	0	0	0	0	1	8		reverse		
reverse_12S_1130	7	0	0	0	0	1	8		reverse		
reverse_12S_1131	7	0	0	0	0	1	8		reverse		
reverse_12S_1132	7	1	0	0	0	0	8		reverse		
reverse_12S_1133	7	1	0	0	0	0	8		reverse		
reverse_12S_1134	7	1	0	0	0	0	8		reverse		
reverse_12S_1135	7	0	0	0	0	1	8		reverse		
reverse_12S_1136	7	0	0	0	0	1	8		reverse		
reverse_12S_1137	7	0	0	0	0	1	8		reverse		
reverse_12S_1138	6	2	0	0	0	0	8		reverse		
reverse_12S_1139	6	0	0	0	0	2	8		reverse		
reverse_12S_1140	6	0	0	0	0	2	8		reverse		
reverse_12S_1141	6	0	0	0	0	2	8		reverse		
reverse_12S_1142	6	1	0	0	0	1	8		reverse		
reverse_12S_1143	6	0	0	0	0	2	8		reverse		
reverse_12S_1144	5	2	0	0	0	1	8		reverse		
reverse_12S_1145	5	1	0	0	0	2	8		reverse		
reverse_12S_1146	5	2	0	0	0	1	8		reverse		
reverse_12S_1147	5	1	0	0	1	1	8		reverse		
reverse_12S_1148	5	2	0	0	0	1	8		reverse		
reverse_12S_1149	5	0	0	0	0	3	8		reverse		
reverse_12S_1150	5	0	0	0	0	3	8		reverse		
reverse_12S_1151	5	2	0	0	0	1	8		reverse		
reverse_12S_1152	5	1	0	0	0	2	8		reverse		
reverse_12S_1153	5	2	0	0	0	1	8		reverse		
reverse_12S_1154	5	0	0	0	0	3	8		reverse		
reverse_12S_1155	5	1	0	0	0	2	8		reverse		
reverse_12S_1156	4	3	0	0	0	1	8		reverse		
reverse_12S_1157	4	1	0	0	0	3	8		reverse		
reverse_12S_1158	4	2	0	0	0	2	8		reverse		
reverse_12S_1159	4	0	0	0	0	4	8		reverse		
reverse_12S_1160	4	1	0	0	0	3	8		reverse		
reverse_12S_1161	4	1	0	0	0	3	8		reverse		
reverse_12S_1162	4	3	0	0	0	1	8		reverse		
reverse_12S_1163	4	2	0	0	0	2	8		reverse		
reverse_12S_1164	3	1	0	0	0	4	8		reverse		
reverse_12S_1165	3	1	0	0	0	4	8		reverse		
reverse_12S_1166	3	0	0	0	0	5	8		reverse		
