	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	land1_Hi_bl	land2_Hi_bl	land3_Hi_bl	sea1_Hi_bl	sea2_Hi_bl	sea3_Hi_bl	land1_Hi_vs	land2_Hi_vs	land3_Hi_vs	sea1_Hi_vs	sea2_Hi_vs	sea3_Hi_vs
21	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso hexacanthus	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma flavescens	42.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	Chordata;Actinopteri;Anguilliformes;Muraenidae;Anarchias;Anarchias sp. Ansp	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax buroensis	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax unicolor	12.0	11.0	0.0	0.0	0.0	16.0	12.0	11.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	Chordata;Actinopteri;Anguilliformes;Ophichthidae;Neenchelys;Neenchelys buitendijki	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes	0.0	0.0	16.0	39.0	4063.0	2532.0	0.0	0.0	0.0	0.0	1597.0	513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes smitti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus saurus	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	Chordata;Actinopteri;Beloniformes;Exocoetidae	0.0	0.0	8.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	Chordata;Actinopteri;Blenniiformes	0.0	0.0	6.0	0.0	594.0	39.0	0.0	0.0	6.0	0.0	594.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Chordata;Actinopteri;Blenniiformes;Blenniidae	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes	7.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes;Cirripectes imitator	0.0	0.0	0.0	8.0	0.0	24.0	0.0	0.0	0.0	8.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus striatus	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei	0.0	0.0	0.0	3626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus nudus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.0	2167.0	1005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus	0.0	0.0	0.0	285.0	2173.0	1006.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola	0.0	11.0	10.0	954.0	251.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	0.0	0.0	0.0	6.0	1.0	1.0	0.0	11.0	10.0	960.0	252.0	398.0	0.0	11.0	10.0	960.0	252.0	398.0	0.0	11.0	10.0	960.0	252.0	398.0
44	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	16.0	0.0	5322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus	0.0	7.0	0.0	16.0	0.0	5322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Chordata;Actinopteri;Centrarchiformes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	15.0	9292.0	4349.0	3634.0
47	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.0	0.0	1.0	28.0	9.0	13.0	0.0	0.0	1.0	32.0	9.0	480.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
48	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens	0.0	8.0	15.0	9290.0	4349.0	3634.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Labracoglossa;Labracoglossa argenteiventris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis	20.0	17.0	15.0	9393.0	1785.0	6359.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
52	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;Chaetodon reticulatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	Chordata;Actinopteri;Cichliformes;Cichlidae;Geophagus;Geophagus brasiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis	0.0	0.0	0.0	0.0	772.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	0.0	43.0	6.0	24.0	0.0	1828.0	0.0	43.0	6.0	24.0	0.0	1828.0	0.0	43.0	6.0	24.0	0.0	1828.0	0.0	43.0	6.0	24.0	0.0	1832.0
56	Chordata;Actinopteri;Clupeiformes;Engraulidae;Encrasicholina;Encrasicholina punctifer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	2.0	143.0	18.0	1851.0	25.0	23937.0	2.0	143.0	18.0	1851.0	25.0	23920.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
58	Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Chordata;Actinopteri;Ephippiformes;Ephippidae;Platax;Platax orbicularis	31.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Chordata;Actinopteri;Gobiiformes;Gobiidae	0.0	0.0	0.0	831.0	73.0	0.0	0.0	0.0	0.0	831.0	73.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0
61	Chordata;Actinopteri;Gobiiformes;Gobiidae;Cabillus;Cabillus sp. CBM:ZF:12221	18.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	Chordata;Actinopteri;Gobiiformes;Gobiidae;Eviota;Eviota prasina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	Chordata;Actinopteri;Gobiiformes;Gobiidae;Gillichthys	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	Chordata;Actinopteri;Holocentriformes;Holocentridae;Sargocentron;Sargocentron punctatissimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Chordata;Actinopteri;Labriformes;Labridae	25.0	1.0	0.0	0.0	0.0	11.0	92.0	304.0	369.0	1250.0	5047.0	106927.0	112.0	304.0	369.0	5508.0	18779.0	139662.0	398.0	305.0	370.0	5577.0	18797.0	145049.0
66	Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses twistii	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	Chordata;Actinopteri;Labriformes;Labridae;Chlorurus;Chlorurus sordidus	143.0	1.0	0.0	44.0	17.0	88.0	143.0	1.0	0.0	44.0	17.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris gaimard	0.0	0.0	0.0	11.0	0.0	12.0	0.0	0.0	0.0	11.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres hortulanus	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres trimaculatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	Chordata;Actinopteri;Labriformes;Labridae;Hologymnosus;Hologymnosus doliatus	11.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	Chordata;Actinopteri;Labriformes;Labridae;Leptoscarus;Leptoscarus vaigiensis	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica	92.0	304.0	369.0	5509.0	18780.0	144875.0	0.0	0.0	0.0	4258.0	13732.0	35616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Chordata;Actinopteri;Labriformes;Labridae;Pseudocheilinus;Pseudocheilinus hexataenia	9.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	Chordata;Actinopteri;Labriformes;Labridae;Scarus	0.0	0.0	0.0	0.0	0.0	28.0	58.0	0.0	0.0	0.0	0.0	0.0	247.0	1.0	0.0	44.0	17.0	121.0	0.0	1.0	0.0	1.0	0.0	5.0
77	Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus frenatus	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus psittacus	46.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.0	101.0	59.0	1951.0	10250.0	716.0	0.0	101.0	59.0	1951.0	10248.0	716.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma	0.0	0.0	1.0	3.0	0.0	64.0	34.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	1.0	25.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0
81	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma hardwicke	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma quinquevittatum	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	1.0	25.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
