12S_seq_number	SkHi_12S_5.C2.S1540.L007	SkHi12S_8.C4.S900.L007	SkHi12S_AN1H.S1214.L007	SkHi12S_AN2C.S1215.L007	SkHi12S_ANB2.S1217.L007	SkHi12S_C1g.S885.L007	Forward	reverse	merged	sumtax Confidence
reverse_12S_1600	3	0	0	0	0	2		reverse		Chordata	0.996523972
reverse_12S_1601	3	2	0	0	0	0		reverse		Chordata	0.996056339
reverse_12S_1602	3	2	0	0	0	0		reverse		Chordata	0.996465319
reverse_12S_1603	3	1	0	0	0	1		reverse		Chordata	0.996549614
reverse_12S_1604	3	2	0	0	0	0		reverse		Chordata	0.99686883
reverse_12S_1605	3	1	0	0	0	1		reverse		Chordata	0.996875104
reverse_12S_1606	3	2	0	0	0	0		reverse		Chordata	0.996346127
reverse_12S_1607	3	0	0	0	0	2		reverse		Chordata	0.997275267
reverse_12S_1608	3	1	0	0	0	1		reverse		Chordata	0.996354207
reverse_12S_1609	3	0	0	0	0	2		reverse		Chordata	0.996686986
reverse_12S_161	34	12	0	0	0	40		reverse		Chordata	0.996545882
reverse_12S_1610	3	0	0	0	0	2		reverse		Chordata	0.996931937
reverse_12S_1611	3	1	0	0	0	1		reverse		Chordata	0.996329069
reverse_12S_1612	3	0	0	0	0	2		reverse		Chordata	0.996334172
reverse_12S_1613	3	0	0	0	0	2		reverse		Chordata	0.996525384
reverse_12S_1614	3	1	0	0	0	1		reverse		Chordata	0.996905266
reverse_12S_1615	3	0	0	0	0	2		reverse		Chordata	0.997322427
reverse_12S_1616	3	0	0	0	0	2		reverse		Chordata	0.996904394
reverse_12S_1617	3	0	0	0	0	2		reverse		Chordata	0.997045151
reverse_12S_1618	3	0	0	0	0	2		reverse		Chordata	0.995746961
reverse_12S_1619	2	2	0	0	0	1		reverse		Chordata	0.995723285
reverse_12S_162	16	3	0	0	0	67		reverse		Chordata	0.996663654
reverse_12S_1620	2	0	0	0	0	3		reverse		Chordata	0.995955017
reverse_12S_1621	2	0	0	0	0	3		reverse		Chordata	0.996518973
reverse_12S_1622	2	0	0	0	1	2		reverse		Chordata	0.996828864
reverse_12S_1623	2	0	0	0	0	3		reverse		Chordata	0.996770846
reverse_12S_1624	2	0	0	0	0	3		reverse		Chordata	0.996840189
reverse_12S_1625	2	0	0	0	1	2		reverse		Chordata	0.996715549
reverse_12S_1626	2	1	0	0	0	2		reverse		Chordata	0.996860019
reverse_12S_1627	2	0	0	0	0	3		reverse		Chordata	0.996553577
reverse_12S_1628	2	0	0	0	0	3		reverse		Chordata	0.995950837
reverse_12S_1629	2	0	0	0	0	3		reverse		Chordata	0.996457453
reverse_12S_163	83	1	0	0	0	1		reverse		Chordata	0.996109119
reverse_12S_1630	2	2	0	0	0	1		reverse		Chordata	0.996756332
reverse_12S_1631	2	1	0	0	0	2		reverse		Chordata	0.996438836
reverse_12S_1632	2	1	0	0	0	2		reverse		Chordata	0.997298245
reverse_12S_1633	2	3	0	0	0	0		reverse		Chordata	0.996302424
reverse_12S_1634	2	2	0	0	0	1		reverse		Chordata	0.996696065
reverse_12S_1635	2	2	0	0	0	1		reverse		Chordata	0.997157138
reverse_12S_1636	2	1	0	0	0	2		reverse		Chordata	0.996925695
reverse_12S_1637	2	2	0	0	0	1		reverse		Chordata	0.995602658
reverse_12S_1638	2	2	0	0	0	1		reverse		Chordata	0.996940373
reverse_12S_1639	2	0	0	0	0	3		reverse		Chordata	0.996264169
reverse_12S_164	82	2	0	0	0	1		reverse		Chordata	0.996579659
reverse_12S_1640	2	0	0	0	0	3		reverse		Chordata	0.996706621
reverse_12S_1641	2	0	0	0	0	3		reverse		Chordata	0.996212867
reverse_12S_1642	2	0	0	0	0	3		reverse		Chordata	0.996532139
reverse_12S_1643	2	0	0	0	0	3		reverse		Chordata	0.996356825
reverse_12S_1644	2	2	0	0	0	1		reverse		Chordata	0.996203715
reverse_12S_1645	2	1	0	0	0	2		reverse		Chordata	0.996907276
reverse_12S_1646	2	0	0	0	0	3		reverse		Chordata	0.996485442
reverse_12S_1647	2	0	0	0	0	3		reverse		Chordata	0.996731054
reverse_12S_1648	2	1	0	0	0	2		reverse		Chordata	0.996429036
reverse_12S_1649	2	0	0	0	0	3		reverse		Chordata	0.996397892
reverse_12S_165	73	8	0	0	0	4		reverse		Chordata	0.997587191
reverse_12S_1650	2	0	0	0	0	3		reverse		Chordata	0.997232756
reverse_12S_1651	2	1	0	0	0	2		reverse		Chordata	0.996216776
reverse_12S_1652	2	3	0	0	0	0		reverse		Chordata	0.996613122
reverse_12S_1653	2	0	0	0	0	3		reverse		Chordata	0.996372259
reverse_12S_1654	2	0	0	0	0	3		reverse		Chordata	0.996056149
reverse_12S_1655	1	3	0	0	0	1		reverse		Chordata	0.996290288
reverse_12S_1656	1	0	0	0	0	4		reverse		Chordata	0.996030876
reverse_12S_1657	1	3	0	0	0	1		reverse		Chordata	0.996717409
reverse_12S_1658	1	0	0	0	0	4		reverse		Chordata	0.996375837
reverse_12S_1659	1	2	0	0	0	2		reverse		Chordata	0.996834287
reverse_12S_166	20	1	0	0	0	64		reverse		Chordata	0.996695004
reverse_12S_1660	1	1	0	0	0	3		reverse		Chordata	0.997408308
reverse_12S_1661	1	1	0	0	0	3		reverse		Chordata	0.99664302
reverse_12S_1662	1	0	0	0	0	4		reverse		Chordata	0.996512578
reverse_12S_1663	1	1	0	0	0	3		reverse		Chordata	0.996751067
reverse_12S_1664	1	1	0	0	0	3		reverse		Chordata	0.996774104
reverse_12S_1665	1	0	0	0	0	4		reverse		Chordata	0.996769177
reverse_12S_1666	1	1	0	0	0	3		reverse		Chordata	0.996988006
reverse_12S_1667	1	0	0	0	0	4		reverse		Chordata	0.996616187
reverse_12S_1668	1	3	0	0	0	1		reverse		Chordata	0.996435469
reverse_12S_1669	1	4	0	0	0	0		reverse		Chordata	0.996372288
reverse_12S_167	15	1	0	0	1	68		reverse		Chordata	0.996723821
reverse_12S_1670	1	0	0	0	0	4		reverse		Chordata	0.996261235
reverse_12S_1671	1	2	0	0	0	2		reverse		Chordata	0.996436188
reverse_12S_1672	1	1	0	0	0	3		reverse		Chordata	0.996621456
reverse_12S_1673	1	3	0	0	0	1		reverse		Chordata	0.996563888
reverse_12S_1674	1	0	0	0	0	4		reverse		Chordata	0.996964012
reverse_12S_1675	1	0	0	0	0	4		reverse		Chordata	0.996249763
reverse_12S_1676	1	0	0	0	0	4		reverse		Chordata	0.99686919
reverse_12S_1677	1	0	0	0	0	4		reverse		Chordata	0.997162702
reverse_12S_1678	1	1	0	0	0	3		reverse		Chordata	0.995832253
reverse_12S_1679	1	1	0	0	0	3		reverse		Chordata	0.99627257
reverse_12S_168	52	1	0	0	0	31		reverse		Chordata	0.996780279
reverse_12S_1680	1	1	0	0	0	3		reverse		Chordata	0.996287589
reverse_12S_1681	1	2	0	0	0	2		reverse		Chordata	0.996912626
reverse_12S_1682	1	0	0	0	0	4		reverse		Chordata	0.996583785
reverse_12S_1683	1	4	0	0	0	0		reverse		Chordata	0.996273444
reverse_12S_1684	1	3	0	0	0	1		reverse		Chordata	0.996216469
reverse_12S_1685	1	1	0	0	0	3		reverse		Chordata	0.996311261
reverse_12S_1686	1	0	0	0	0	4		reverse		Chordata	0.996504493
reverse_12S_1687	1	0	0	0	0	4		reverse		Chordata	0.996671364
reverse_12S_1688	1	0	0	0	0	4		reverse		Chordata	0.996657977
reverse_12S_1689	1	0	0	0	0	4		reverse		Chordata	0.996785391
reverse_12S_169	41	7	0	0	0	36		reverse		Chordata	0.996620933
reverse_12S_1690	1	1	0	0	0	3		reverse		Chordata	0.996669798
reverse_12S_1691	1	0	0	0	0	4		reverse		Chordata	0.996590131
reverse_12S_1692	1	0	0	0	0	4		reverse		Chordata	0.996414543
reverse_12S_1693	1	0	0	0	0	4		reverse		Chordata	0.996186662
reverse_12S_1694	1	1	0	0	0	3		reverse		Chordata	0.996636082
reverse_12S_1695	1	0	0	0	0	4		reverse		Chordata	0.996558988
reverse_12S_1696	1	1	0	0	0	3		reverse		Chordata	0.996797527
reverse_12S_1697	1	0	0	0	0	4		reverse		Chordata	0.996278306
reverse_12S_1698	1	1	0	0	0	3		reverse		Chordata	0.99646698
reverse_12S_1699	1	0	0	0	0	4		reverse		Chordata	0.99642779
reverse_12S_17	160	72	0	0	1	216		reverse		Chordata	0.996749312
reverse_12S_170	31	14	0	0	0	39		reverse		Chordata	0.99624567
reverse_12S_1700	1	0	0	0	0	4		reverse		Chordata	0.997114893
reverse_12S_1701	1	2	0	0	0	2		reverse		Chordata	0.995326472
reverse_12S_1702	1	0	0	0	0	4		reverse		Chordata	0.99600829
reverse_12S_1703	0	5	0	0	0	0		reverse		Chordata	0.99673647
reverse_12S_1704	0	5	0	0	0	0		reverse		Chordata	0.99558616
reverse_12S_1705	0	5	0	0	0	0		reverse		Chordata	0.995957309
reverse_12S_1706	0	4	0	0	0	1		reverse		Chordata	0.996343542
reverse_12S_1707	0	4	0	0	0	1		reverse		Chordata	0.996417595
reverse_12S_1708	0	4	0	0	0	1		reverse		Chordata	0.995841731
reverse_12S_1709	0	4	0	0	0	1		reverse		Chordata	0.995986799
reverse_12S_171	16	17	0	0	1	50		reverse		Chordata	0.996290144
reverse_12S_1710	0	3	0	0	0	2		reverse		Chordata	0.996453404
reverse_12S_1711	0	3	0	0	0	2		reverse		Chordata	0.996914096
reverse_12S_1712	0	3	0	0	0	2		reverse		Chordata	0.99694268
reverse_12S_1713	0	2	0	0	0	3		reverse		Chordata	0.99629347
reverse_12S_1714	0	2	0	0	0	3		reverse		Chordata	0.996746107
reverse_12S_1715	0	2	0	0	0	3		reverse		Chordata	0.996253879
reverse_12S_1716	0	2	0	0	0	3		reverse		Chordata	0.996438777
reverse_12S_1717	0	1	0	0	0	4		reverse		Chordata	0.997409099
reverse_12S_1718	0	1	0	0	0	4		reverse		Chordata	0.996480088
reverse_12S_1719	0	1	0	0	0	4		reverse		Chordata	0.996811275
reverse_12S_172	6	1	0	0	0	77		reverse		Chordata	0.996260719
reverse_12S_1720	0	1	0	2	2	0		reverse		Chordata	0.996414066
reverse_12S_1721	0	1	0	0	0	4		reverse		Chordata	0.996600967
reverse_12S_1722	0	1	0	0	0	4		reverse		Chordata	0.997155579
reverse_12S_1723	0	1	0	0	0	4		reverse		Chordata	0.996664221
reverse_12S_1724	0	1	0	0	0	4		reverse		Chordata	0.996796766
reverse_12S_1725	0	1	0	0	0	4		reverse		Chordata	0.996416155
reverse_12S_1726	0	1	0	0	0	4		reverse		Chordata	0.99652829
reverse_12S_1727	0	1	0	0	0	4		reverse		Chordata	0.997007933
reverse_12S_1728	0	1	0	0	0	4		reverse		Chordata	0.995771958
reverse_12S_1729	0	1	0	0	0	4		reverse		Chordata	0.996250643
reverse_12S_173	74	5	0	0	0	4		reverse		Chordata	0.996977862
reverse_12S_1730	0	0	1	0	4	0		reverse		Chordata	0.997089868
reverse_12S_1731	0	0	0	0	5	0		reverse		Chordata	0.996885378
reverse_12S_1732	0	0	0	0	5	0		reverse		Chordata	0.996893261
reverse_12S_1733	0	0	0	0	0	5		reverse		Chordata	0.995967371
reverse_12S_1734	0	0	0	0	0	5		reverse		Chordata	0.995913381
reverse_12S_1735	0	0	0	0	0	5		reverse		Chordata	0.996345305
reverse_12S_1736	0	0	0	0	0	5		reverse		Chordata	0.996128058
reverse_12S_1737	0	0	0	0	0	5		reverse		Chordata	0.996753965
reverse_12S_1738	0	0	0	0	0	5		reverse		Chordata	0.996726545
reverse_12S_1739	0	0	0	0	0	5		reverse		Chordata	0.996704654
reverse_12S_174	53	12	0	0	1	17		reverse		Chordata	0.996398069
reverse_12S_1740	0	0	0	0	0	5		reverse		Chordata	0.996522821
reverse_12S_1741	0	0	0	0	0	5		reverse		Chordata	0.996419571
reverse_12S_1742	0	0	0	0	0	5		reverse		Chordata	0.996370869
reverse_12S_1743	0	0	0	0	0	5		reverse		Chordata	0.996043186
reverse_12S_1744	0	0	0	0	0	5		reverse		Chordata	0.996483751
reverse_12S_1745	0	0	0	0	0	5		reverse		Chordata	0.996691102
reverse_12S_1746	0	0	0	0	0	5		reverse		Chordata	0.996297512
reverse_12S_1747	0	0	0	0	0	5		reverse		Chordata	0.996677284
reverse_12S_1748	0	0	0	0	0	5		reverse		Chordata	0.996133708
reverse_12S_1749	0	0	0	0	0	5		reverse		Chordata	0.995963764
reverse_12S_175	42	6	0	0	0	35		reverse		Chordata	0.996275572
reverse_12S_1750	0	0	0	0	0	5		reverse		Chordata	0.996487218
reverse_12S_1751	0	0	0	0	0	5		reverse		Chordata	0.997166814
reverse_12S_1752	0	0	0	0	0	5		reverse		Chordata	0.996776416
reverse_12S_1753	0	0	0	0	0	5		reverse		Chordata	0.997336482
reverse_12S_1754	0	0	0	0	0	5		reverse		Chordata	0.996538822
reverse_12S_1755	0	0	0	0	0	5		reverse		Chordata	0.996753357
reverse_12S_1756	0	0	0	0	0	5		reverse		Chordata	0.996279508
reverse_12S_1757	0	0	0	0	0	5		reverse		Eukaryota	1
reverse_12S_1758	0	0	0	0	0	5		reverse		Chordata	0.996843236
reverse_12S_1759	0	0	0	0	0	5		reverse		Chordata	0.996659488
reverse_12S_176	32	18	0	0	0	33		reverse		Chordata	0.99635248
reverse_12S_1760	0	0	0	0	0	5		reverse		Chordata	0.996060146
reverse_12S_1761	0	0	0	0	0	5		reverse		Chordata	0.996238042
reverse_12S_1762	0	0	0	0	0	5		reverse		Chordata	0.996843553
reverse_12S_1763	0	0	0	0	0	5		reverse		Chordata	0.996478258
reverse_12S_1764	0	0	0	0	0	5		reverse		Chordata	0.99665862
reverse_12S_1765	0	0	0	0	0	5		reverse		Chordata	0.996512108
reverse_12S_1766	0	0	0	0	0	5		reverse		Chordata	0.996735853
reverse_12S_1767	0	0	0	0	0	5		reverse		Chordata	0.996547633
reverse_12S_1768	0	0	0	0	0	5		reverse		Chordata	0.996601455
reverse_12S_1769	0	0	0	0	0	5		reverse		Chordata	0.996389596
reverse_12S_177	76	1	0	0	0	5		reverse		Chordata	0.997195789
reverse_12S_1770	0	0	0	0	0	5		reverse		Chordata	0.996436744
reverse_12S_1771	0	0	0	0	0	5		reverse		Chordata	0.996978589
reverse_12S_1772	0	0	0	0	0	5		reverse		Chordata	0.996732631
reverse_12S_1773	0	0	0	0	0	5		reverse		Chordata	0.996509837
reverse_12S_1774	0	0	0	0	0	5		reverse		Chordata	0.99647949
reverse_12S_1775	0	0	0	0	0	5		reverse		Chordata	0.996533885
reverse_12S_1776	0	0	0	0	0	5		reverse		Chordata	0.996410802
reverse_12S_1777	0	0	0	0	0	5		reverse		Chordata	0.996568694
reverse_12S_1778	0	0	0	0	0	5		reverse		Chordata	0.995896179
reverse_12S_1779	0	0	0	0	0	5		reverse		Chordata	0.995556445
reverse_12S_178	40	8	0	0	1	33		reverse		Chordata	0.997168442
reverse_12S_1780	4	0	0	0	0	0		reverse		Chordata	0.996055916
reverse_12S_1781	4	0	0	0	0	0		reverse		Chordata	0.996150232
reverse_12S_1782	4	0	0	0	0	0		reverse		Chordata	0.996100704
reverse_12S_1783	4	0	0	0	0	0		reverse		Chordata	0.996036582
reverse_12S_1784	4	0	0	0	0	0		reverse		Chordata	0.996576598
reverse_12S_1785	4	0	0	0	0	0		reverse		Chordata	0.995989451
reverse_12S_1786	4	0	0	0	0	0		reverse		Chordata	0.996033622
reverse_12S_1787	4	0	0	0	0	0		reverse		Chordata	0.996045652
reverse_12S_1788	4	0	0	0	0	0		reverse		Chordata	0.996390699
reverse_12S_1789	4	0	0	0	0	0		reverse		Chordata	0.995820174
reverse_12S_179	9	9	0	0	0	64		reverse		Chordata	0.996577248
reverse_12S_1790	4	0	0	0	0	0		reverse		Chordata	0.995941714
reverse_12S_1791	4	0	0	0	0	0		reverse		Chordata	0.995916519
reverse_12S_1792	4	0	0	0	0	0		reverse		Chordata	0.995542134
reverse_12S_1793	4	0	0	0	0	0		reverse		Chordata	0.996009813
reverse_12S_1794	4	0	0	0	0	0		reverse		Chordata	0.996375672
reverse_12S_1795	4	0	0	0	0	0		reverse		Chordata	0.996024225
reverse_12S_1796	4	0	0	0	0	0		reverse		Chordata	0.996264444
reverse_12S_1797	4	0	0	0	0	0		reverse		Chordata	0.996281637
reverse_12S_1798	4	0	0	0	0	0		reverse		Chordata	0.996270749
reverse_12S_1799	4	0	0	0	0	0		reverse		Chordata	0.996695013
reverse_12S_18	131	58	0	0	0	258		reverse		Chordata	0.996472119
reverse_12S_180	13	3	0	0	0	65		reverse		Chordata	0.996666695
reverse_12S_1800	4	0	0	0	0	0		reverse		Chordata	0.996505651
reverse_12S_1801	4	0	0	0	0	0		reverse		Chordata	0.996637627
reverse_12S_1802	4	0	0	0	0	0		reverse		Chordata	0.996537659
reverse_12S_1803	4	0	0	0	0	0		reverse		Chordata	0.995686204
reverse_12S_1804	4	0	0	0	0	0		reverse		Chordata	0.996287444
reverse_12S_1805	4	0	0	0	0	0		reverse		Chordata	0.997038121
reverse_12S_1806	4	0	0	0	0	0		reverse		Chordata	0.996662391
reverse_12S_1807	4	0	0	0	0	0		reverse		Chordata	0.996383156
reverse_12S_1808	4	0	0	0	0	0		reverse		Chordata	0.99697818
reverse_12S_1809	4	0	0	0	0	0		reverse		Chordata	0.99675834
reverse_12S_181	9	0	0	0	0	72		reverse		Chordata	0.996591584
reverse_12S_1810	4	0	0	0	0	0		reverse		Chordata	0.996411377
reverse_12S_1811	4	0	0	0	0	0		reverse		Chordata	0.996885497
reverse_12S_1812	4	0	0	0	0	0		reverse		Chordata	0.99626455
reverse_12S_1813	4	0	0	0	0	0		reverse		Chordata	0.996569684
reverse_12S_1814	4	0	0	0	0	0		reverse		Chordata	0.99669016
reverse_12S_1815	4	0	0	0	0	0		reverse		Chordata	0.996547016
reverse_12S_1816	4	0	0	0	0	0		reverse		Chordata	0.996420486
reverse_12S_1817	4	0	0	0	0	0		reverse		Chordata	0.996736503
reverse_12S_1818	4	0	0	0	0	0		reverse		Chordata	0.996642277
reverse_12S_1819	4	0	0	0	0	0		reverse		Chordata	0.996372158
reverse_12S_182	9	6	0	0	0	65		reverse		Chordata	0.996482699
reverse_12S_1820	4	0	0	0	0	0		reverse		Chordata	0.996569149
reverse_12S_1821	4	0	0	0	0	0		reverse		Chordata	0.996210512
reverse_12S_1822	4	0	0	0	0	0		reverse		Chordata	0.996142198
reverse_12S_1823	4	0	0	0	0	0		reverse		Chordata	0.996762177
reverse_12S_1824	4	0	0	0	0	0		reverse		Chordata	0.996752246
reverse_12S_1825	4	0	0	0	0	0		reverse		Chordata	0.996705798
reverse_12S_1826	4	0	0	0	0	0		reverse		Chordata	0.996778708
reverse_12S_1827	4	0	0	0	0	0		reverse		Chordata	0.996487572
reverse_12S_1828	4	0	0	0	0	0		reverse		Chordata	0.996584716
reverse_12S_1829	4	0	0	0	0	0		reverse		Chordata	0.996600859
reverse_12S_183	27	9	0	0	0	43		reverse		Chordata	0.996750608
reverse_12S_1830	4	0	0	0	0	0		reverse		Chordata	0.996186751
reverse_12S_1831	4	0	0	0	0	0		reverse		Chordata	0.995911024
reverse_12S_1832	4	0	0	0	0	0		reverse		Chordata	0.997023672
reverse_12S_1833	4	0	0	0	0	0		reverse		Chordata	0.9964175
reverse_12S_1834	4	0	0	0	0	0		reverse		Chordata	0.99709323
reverse_12S_1835	4	0	0	0	0	0		reverse		Chordata	0.997410594
reverse_12S_1836	4	0	0	0	0	0		reverse		Chordata	0.99728471
reverse_12S_1837	4	0	0	0	0	0		reverse		Chordata	0.997235073
reverse_12S_1838	4	0	0	0	0	0		reverse		Chordata	0.997274583
reverse_12S_1839	4	0	0	0	0	0		reverse		Chordata	0.997199735
reverse_12S_184	75	2	0	0	0	1		reverse		Chordata	0.996207715
reverse_12S_1840	4	0	0	0	0	0		reverse		Chordata	0.997282737
reverse_12S_1841	4	0	0	0	0	0		reverse		Chordata	0.997215455
reverse_12S_1842	4	0	0	0	0	0		reverse		Chordata	0.997289748
reverse_12S_1843	4	0	0	0	0	0		reverse		Chordata	0.997258161
reverse_12S_1844	4	0	0	0	0	0		reverse		Chordata	0.997595793
reverse_12S_1845	4	0	0	0	0	0		reverse		Chordata	0.996106084
reverse_12S_1846	4	0	0	0	0	0		reverse		Chordata	0.997158643
reverse_12S_1847	4	0	0	0	0	0		reverse		Chordata	0.996951076
reverse_12S_1848	4	0	0	0	0	0		reverse		Chordata	0.996278656
reverse_12S_1849	4	0	0	0	0	0		reverse		Chordata	0.997373331
reverse_12S_185	38	9	0	0	0	31		reverse		Chordata	0.996498601
reverse_12S_1850	4	0	0	0	0	0		reverse		Chordata	0.996104246
reverse_12S_1851	4	0	0	0	0	0		reverse		Chordata	0.996399552
reverse_12S_1852	4	0	0	0	0	0		reverse		Chordata	0.996682048
reverse_12S_1853	4	0	0	0	0	0		reverse		Chordata	0.9969775
reverse_12S_1854	4	0	0	0	0	0		reverse		Chordata	0.9965525
reverse_12S_1855	4	0	0	0	0	0		reverse		Chordata	0.996595557
reverse_12S_1856	4	0	0	0	0	0		reverse		Chordata	0.996579502
reverse_12S_1857	4	0	0	0	0	0		reverse		Chordata	0.997058187
reverse_12S_1858	4	0	0	0	0	0		reverse		Chordata	0.996063513
reverse_12S_1859	4	0	0	0	0	0		reverse		Chordata	0.996856703
reverse_12S_186	19	6	0	0	0	53		reverse		Chordata	0.996197842
reverse_12S_1860	4	0	0	0	0	0		reverse		Chordata	0.996012381
reverse_12S_1861	4	0	0	0	0	0		reverse		Chordata	0.996088477
reverse_12S_1862	4	0	0	0	0	0		reverse		Chordata	0.996070445
reverse_12S_1863	4	0	0	0	0	0		reverse		Chordata	0.996413664
reverse_12S_1864	4	0	0	0	0	0		reverse		Chordata	0.996438645
reverse_12S_1865	4	0	0	0	0	0		reverse		Chordata	0.996443285
reverse_12S_1866	4	0	0	0	0	0		reverse		Chordata	0.995738931
reverse_12S_1867	4	0	0	0	0	0		reverse		Chordata	0.995774402
reverse_12S_1868	4	0	0	0	0	0		reverse		Chordata	0.995793847
reverse_12S_1869	3	1	0	0	0	0		reverse		Chordata	0.996173079
reverse_12S_187	77	0	0	0	0	0		reverse		Chordata	0.996256181
reverse_12S_1870	3	0	0	0	0	1		reverse		Chordata	0.996414896
reverse_12S_1871	3	1	0	0	0	0		reverse		Chordata	0.99560383
reverse_12S_1872	3	1	0	0	0	0		reverse		Chordata	0.996018959
reverse_12S_1873	3	0	0	0	0	1		reverse		Chordata	0.996215184
reverse_12S_1874	3	0	0	0	1	0		reverse		Chordata	0.996097179
reverse_12S_1875	3	0	0	0	0	1		reverse		Chordata	0.996599465
reverse_12S_1876	3	1	0	0	0	0		reverse		Chordata	0.99668876
reverse_12S_1877	3	1	0	0	0	0		reverse		Chordata	0.997109184
reverse_12S_1878	3	1	0	0	0	0		reverse		Chordata	0.996746012
reverse_12S_1879	3	1	0	0	0	0		reverse		Chordata	0.996487408
reverse_12S_188	66	7	0	0	0	4		reverse		Chordata	0.996409566
reverse_12S_1880	3	1	0	0	0	0		reverse		Chordata	0.996876706
reverse_12S_1881	3	0	0	0	0	1		reverse		Chordata	0.996148573
reverse_12S_1882	3	1	0	0	0	0		reverse		Chordata	0.996634983
reverse_12S_1883	3	1	0	0	0	0		reverse		Chordata	0.99718547
reverse_12S_1884	3	0	0	0	0	1		reverse		Chordata	0.996126299
reverse_12S_1885	3	1	0	0	0	0		reverse		Chordata	0.996520453
reverse_12S_1886	3	0	0	0	0	1		reverse		Chordata	0.996483984
reverse_12S_1887	3	0	0	0	0	1		reverse		Chordata	0.996227201
reverse_12S_1888	3	0	0	0	0	1		reverse		Chordata	0.996508543
reverse_12S_1889	3	1	0	0	0	0		reverse		Chordata	0.99673142
reverse_12S_189	17	2	0	0	0	57		reverse		Chordata	0.995579691
reverse_12S_1890	3	0	0	0	0	1		reverse		Chordata	0.995204952
reverse_12S_1891	3	0	0	0	0	1		reverse		Chordata	0.995228059
reverse_12S_1892	3	0	0	0	0	1		reverse		Chordata	0.996170805
reverse_12S_1893	3	0	0	0	0	1		reverse		Chordata	0.996149643
reverse_12S_1894	3	0	0	0	0	1		reverse		Chordata	0.996188264
reverse_12S_1895	3	0	0	0	0	1		reverse		Chordata	0.996703043
reverse_12S_1896	3	1	0	0	0	0		reverse		Chordata	0.996663008
reverse_12S_1897	3	0	0	0	0	1		reverse		Chordata	0.996845041
reverse_12S_1898	3	0	0	0	0	1		reverse		Chordata	0.997210441
reverse_12S_1899	3	1	0	0	0	0		reverse		Chordata	0.996696061
reverse_12S_19	118	64	0	0	1	262		reverse		Chordata	0.996748122
reverse_12S_190	41	9	0	0	0	25		reverse		Chordata	0.996921716
reverse_12S_1900	3	0	0	0	0	1		reverse		Chordata	0.996687795
reverse_12S_1901	3	1	0	0	0	0		reverse		Chordata	0.996050477
reverse_12S_1902	2	0	0	0	0	2		reverse		Chordata	0.995875791
reverse_12S_1903	2	2	0	0	0	0		reverse		Chordata	0.995976652
reverse_12S_1904	2	1	0	0	1	0		reverse		Chordata	0.996299678
reverse_12S_1905	2	0	0	0	0	2		reverse		Chordata	0.996326793
reverse_12S_1906	2	1	0	0	0	1		reverse		Chordata	0.996665585
reverse_12S_1907	2	0	0	0	0	2		reverse		Chordata	0.996717128
reverse_12S_1908	2	2	0	0	0	0		reverse		Chordata	0.99642026
reverse_12S_1909	2	0	0	0	0	2		reverse		Chordata	0.99635982
reverse_12S_191	35	6	0	0	1	33		reverse		Chordata	0.996008725
reverse_12S_1910	2	1	0	0	0	1		reverse		Chordata	0.995996256
reverse_12S_1911	2	0	0	0	0	2		reverse		Chordata	0.996338143
reverse_12S_1912	2	0	0	0	0	2		reverse		Chordata	0.996792706
reverse_12S_1913	2	0	0	0	0	2		reverse		Chordata	0.996969305
reverse_12S_1914	2	0	0	0	0	2		reverse		Chordata	0.996686557
reverse_12S_1915	2	2	0	0	0	0		reverse		Chordata	0.996608296
reverse_12S_1916	2	1	0	0	0	1		reverse		Chordata	0.996567128
reverse_12S_1917	2	0	0	0	0	2		reverse		Chordata	0.996512153
reverse_12S_1918	2	0	0	0	0	2		reverse		Chordata	0.996512017
reverse_12S_1919	2	2	0	0	0	0		reverse		Chordata	0.996751215
reverse_12S_192	10	6	0	0	0	58		reverse		Chordata	0.996096817
reverse_12S_1920	2	1	0	0	0	1		reverse		Chordata	0.996684792
reverse_12S_1921	2	0	0	0	0	2		reverse		Chordata	0.99699384
reverse_12S_1922	2	1	0	0	0	1		reverse		Chordata	0.996793517
reverse_12S_1923	2	0	0	0	0	2		reverse		Chordata	0.996657332
reverse_12S_1924	2	2	0	0	0	0		reverse		Chordata	0.996341911
reverse_12S_1925	2	2	0	0	0	0		reverse		Chordata	0.996427425
reverse_12S_1926	2	1	0	0	0	1		reverse		Chordata	0.996594532
reverse_12S_1927	2	1	0	0	0	1		reverse		Chordata	0.996579731
reverse_12S_1928	2	0	0	0	0	2		reverse		Chordata	0.996389731
reverse_12S_1929	2	0	0	0	0	2		reverse		Chordata	0.99636551
reverse_12S_193	64	3	0	0	0	6		reverse		Chordata	0.996653881
reverse_12S_1930	2	0	0	0	0	2		reverse		Chordata	0.997186612
reverse_12S_1931	2	0	0	0	0	2		reverse		Chordata	0.997046618
reverse_12S_1932	2	2	0	0	0	0		reverse		Chordata	0.99664016
reverse_12S_1933	2	0	0	0	0	2		reverse		Chordata	0.996100486
reverse_12S_1934	2	0	0	0	0	2		reverse		Chordata	0.996538632
reverse_12S_1935	2	0	0	0	0	2		reverse		Chordata	0.996642615
reverse_12S_1936	2	0	0	0	0	2		reverse		Chordata	0.996420284
reverse_12S_1937	2	0	0	0	0	2		reverse		Chordata	0.997154017
reverse_12S_1938	2	0	0	0	0	2		reverse		Chordata	0.99634359
