12S_seq_number	SkHi_12S_5.C2.S1540.L007	SkHi12S_8.C4.S900.L007	SkHi12S_AN1H.S1214.L007	SkHi12S_AN2C.S1215.L007	SkHi12S_ANB2.S1217.L007	SkHi12S_C1g.S885.L007	Forward	reverse	merged	sumtax Confidence
forward_12S_161	0	0	2	0	0	0	forward			Chordata	0.997136361
forward_12S_162	0	0	2	0	0	0	forward			Chordata	0.997479509
forward_12S_163	0	0	2	0	0	0	forward			Chordata	0.997447524
forward_12S_164	0	0	2	0	0	0	forward			Chordata	0.997209619
forward_12S_165	0	0	2	0	0	0	forward			Chordata	0.994022597
forward_12S_166	0	0	2	0	0	0	forward			Chordata	0.993970328
forward_12S_167	0	0	2	0	0	0	forward			Chordata	0.993799939
forward_12S_168	0	0	2	0	0	0	forward			Chordata	0.993774954
forward_12S_169	0	0	2	0	0	0	forward			Eukaryota	1
forward_12S_17	0	0	25	0	0	0	forward			Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss	0.953071618
forward_12S_170	0	0	2	0	0	0	forward			Chordata	0.997384562
forward_12S_171	0	0	2	0	0	0	forward			Chordata;Mammalia;Carnivora;Otariidae	0.99995859
forward_12S_172	0	0	2	0	0	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma quinquevittatum	0.868364424
forward_12S_173	0	0	2	0	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.999749291
forward_12S_174	0	0	2	0	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.998939575
forward_12S_175	0	0	2	0	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella leonina	0.758861351
forward_12S_176	0	0	2	0	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.926511965
forward_12S_177	0	0	2	0	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.833157279
forward_12S_178	0	0	2	0	0	0	forward			Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss	0.947621408
forward_12S_179	0	0	2	0	0	0	forward			Chordata;Actinopteri;Gobiiformes;Gobiidae;Luciogobius;Luciogobius guttatus	0.762290652
forward_12S_18	0	0	3	18	3	0	forward			Chordata;Actinopteri;;Pomacentridae	0.96080391
forward_12S_180	0	0	2	0	0	0	forward			Chordata;Actinopteri	0.989432678
forward_12S_181	0	0	2	0	0	0	forward			Chordata;Actinopteri	0.989408528
forward_12S_182	0	0	2	0	0	0	forward			Chordata;Actinopteri	0.989758843
forward_12S_183	0	0	2	0	0	0	forward			Chordata	0.996917204
forward_12S_184	0	0	2	0	0	0	forward			Chordata	0.998236051
forward_12S_185	0	0	2	0	0	0	forward			Chordata	0.997047743
forward_12S_186	0	0	2	0	0	0	forward			Chordata	0.99618601
forward_12S_187	0	0	1	1	0	0	forward			Chordata	0.996159186
forward_12S_188	0	0	1	0	1	0	forward			Chordata	0.995240269
forward_12S_189	0	0	1	0	1	0	forward			Chordata	0.996325143
forward_12S_19	0	0	2	1	18	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.990968323
forward_12S_190	0	0	1	0	1	0	forward			Chordata	0.99629262
forward_12S_191	0	0	1	0	1	0	forward			Eukaryota	1
forward_12S_192	0	0	1	0	1	0	forward			Chordata	0.9949056
forward_12S_193	0	0	1	1	0	0	forward			Chordata	0.996116242
forward_12S_194	0	0	1	0	1	0	forward			Chordata	0.991644586
forward_12S_195	0	0	1	1	0	0	forward			Chordata	0.997702357
forward_12S_196	0	0	1	1	0	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	0.99925844
forward_12S_197	0	0	1	1	0	0	forward			Chordata;Actinopteri;;Sciaenidae;Argyrosomus;Argyrosomus japonicus	0.911536019
forward_12S_198	0	0	1	1	0	0	forward			Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus	0.996513483
forward_12S_199	0	0	1	0	1	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.981877734
forward_12S_2	0	0	74	1	0	0	forward			Chordata	0.993773104
forward_12S_20	1	0	3	4	12	0	forward			Chordata	0.99628066
forward_12S_200	0	0	1	0	1	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.948016439
forward_12S_201	0	0	1	0	1	0	forward			Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus	0.962876935
forward_12S_202	0	0	1	1	0	0	forward			Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	0.999998148
forward_12S_203	0	0	1	0	1	0	forward			Chordata;Actinopteri	0.985597885
forward_12S_204	0	0	1	1	0	0	forward			Chordata;Chondrichthyes	0.968942019
forward_12S_205	0	0	0	2	0	0	forward			Chordata	0.996287658
forward_12S_206	0	0	0	2	0	0	forward			Chordata	0.996057267
forward_12S_207	0	0	0	2	0	0	forward			Chordata	0.997123567
forward_12S_208	0	0	0	2	0	0	forward			Chordata	0.996746074
forward_12S_209	0	0	0	2	0	0	forward			Chordata;Actinopteri;Pempheriformes	0.871086063
forward_12S_21	0	0	20	0	0	0	forward			Eukaryota	1
forward_12S_210	0	0	0	2	0	0	forward			Chordata;Actinopteri	0.99652026
forward_12S_211	0	0	0	2	0	0	forward			Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.99638155
forward_12S_212	0	0	0	2	0	0	forward			Chordata;Actinopteri	0.997154935
forward_12S_213	0	0	0	2	0	0	forward			Chordata;Actinopteri;;Pomacentridae	0.958267084
forward_12S_214	0	0	0	2	0	0	forward			Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni	0.981791535
forward_12S_215	0	0	0	2	0	0	forward			Chordata;Actinopteri	0.997848512
forward_12S_216	0	0	0	1	1	0	forward			Chordata	0.996306827
forward_12S_217	0	0	0	1	1	0	forward			Chordata	0.996299842
forward_12S_218	0	0	0	1	1	0	forward			Chordata	0.994934164
forward_12S_219	0	0	0	1	1	0	forward			Chordata	0.996268844
forward_12S_22	0	0	0	0	20	0	forward			Chordata;Actinopteri;Labriformes;Labridae	0.987457367
forward_12S_220	0	0	0	1	0	1	forward			Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	0.996283856
forward_12S_221	0	0	0	1	1	0	forward			Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca	0.965529112
forward_12S_222	0	0	0	0	2	0	forward			Chordata	0.995956013
forward_12S_223	0	0	0	0	2	0	forward			Chordata	0.995783895
forward_12S_224	0	0	0	0	2	0	forward			Chordata	0.995674777
forward_12S_225	0	0	0	0	2	0	forward			Chordata	0.995748295
forward_12S_226	0	0	0	0	2	0	forward			Chordata	0.996071697
forward_12S_227	0	0	0	0	2	0	forward			Chordata	0.996187607
forward_12S_228	0	0	0	0	2	0	forward			Chordata	0.996377479
forward_12S_229	0	0	0	0	2	0	forward			Chordata	0.99573602
forward_12S_23	0	0	3	1	14	0	forward			Chordata	0.995468322
forward_12S_230	0	0	0	0	2	0	forward			Chordata	0.995412202
forward_12S_231	0	0	0	0	2	0	forward			Chordata	0.998015396
forward_12S_232	0	0	0	0	2	0	forward			Chordata	0.99681255
forward_12S_233	0	0	0	0	2	0	forward			Chordata	0.997580218
forward_12S_234	0	0	0	0	2	0	forward			Chordata	0.996253066
forward_12S_235	0	0	0	0	2	0	forward			Chordata	0.996244029
