taxon	hi	mi
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	15.82	20.41
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	1.08	1.23
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	0.68	0.87
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;	0.85	1.12
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera	0.91	1.04
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	0.89	1.09
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	19.75	6.44
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	16.33	8.51
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	15.58	20.11
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa c	23.97	23.97
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;	0.34	0.43
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	3.46	4.54
