taxon	hi	mi
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	0.02	0.00
Chlorophyta;Trebouxiophyceae;Microthamniales;;Asterochloris;	24.24	23.87
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris	11.98	12.42
Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;	16.09	17.42
NA;Cryptophyta;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas pyrenoidifera	16.22	14.85
NA;Cryptophyta;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;	22.75	22.58
NA;NA;Prymnesiales;Prymnesiaceae;Prymnesium;	0.06	0.00
NA;NA;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	0.03	0.00
NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	0.06	0.06
NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa c	0.10	0.10
;Synurophyceae;Ochromonadales;Ochromonadaceae;Poterioochromonas;	8.34	8.57
Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis oculata	0.01	0.00
