taxon	hi	mi
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana 	0.00	18.75
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;;  c	0.06	0.06
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;; c	17.71	0.00
;;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum	16.76	13.98
;;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis galbana	15.90	13.57
;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;	21.83	22.65
;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;	0.00	26.43
;Dinophyceae;Peridiniales;;;  e	25.76	0.58
Eustigmatophyceae;;Eustigmatales;Monodopsidaceae;Nannochloropsi	1.86	1.85
