"","filtered-CO1-taxonomy-tables60","filtered-CO1-taxonomy-tables70","filtered-CO1-taxonomy-tables80","filtered-CO1-taxonomy-tables90","filtered-CO1-taxonomy-tables95","midori-CO1-taxonomy-tables60","midori-CO1-taxonomy-tables70","midori-CO1-taxonomy-tables80","midori-CO1-taxonomy-tables90","midori-CO1-taxonomy-tables95","unfiltered-CO1-taxonomy-tables60","unfiltered-CO1-taxonomy-tables70","unfiltered-CO1-taxonomy-tables80","unfiltered-CO1-taxonomy-tables90","unfiltered-CO1-taxonomy-tables95"
"Correct",0.892156862745098,0.892156862745098,0.877450980392157,0.838235294117647,0.818627450980392,0.627450980392157,0.602941176470588,0.602941176470588,0.583333333333333,0.57843137254902,0.92156862745098,0.92156862745098,0.906862745098039,0.867647058823529,0.848039215686274
"Wrong",0.0441176470588235,0.0441176470588235,0.0441176470588235,0.0392156862745098,0.0392156862745098,0.107843137254902,0.053921568627451,0.0441176470588235,0.0392156862745098,0.0343137254901961,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0147058823529412,0.0147058823529412
"Ambiguous",0.0637254901960784,0.0637254901960784,0.0784313725490196,0.122549019607843,0.142156862745098,0.264705882352941,0.343137254901961,0.352941176470588,0.377450980392157,0.387254901960784,0.0588235294117647,0.0588235294117647,0.0735294117647059,0.117647058823529,0.137254901960784
