"","CRUX_filtered_60","CRUX_filtered_70","CRUX_filtered_80","CRUX_filtered_90","CRUX_filtered_95","CRUX_unfiltered_60","CRUX_unfiltered_70","CRUX_unfiltered_80","CRUX_unfiltered_90","CRUX_unfiltered_95","Silva_60","Silva_70","Silva_80","Silva_90","Silva_95"
"correct",0.861111111111111,0.847222222222222,0.680555555555556,0.680555555555556,0.569444444444444,0.680555555555556,0.680555555555556,0.541666666666667,0.430555555555556,0.319444444444444,0.583333333333333,0.513888888888889,0.5,0.5,0.444444444444444
"wrong",0.0138888888888889,0.0138888888888889,0,0,0,0.0833333333333333,0.0416666666666667,0.0138888888888889,0,0,0.25,0.25,0.25,0.236111111111111,0.222222222222222
"ambiguous call",0.125,0.138888888888889,0.319444444444444,0.319444444444444,0.430555555555556,0.236111111111111,0.277777777777778,0.444444444444444,0.569444444444444,0.680555555555556,0.166666666666667,0.236111111111111,0.25,0.263888888888889,0.333333333333333
