"","CRUX_filtered_60","CRUX_filtered_70","CRUX_filtered_80","CRUX_filtered_90","CRUX_filtered_95","CRUX_unfiltered_60","CRUX_unfiltered_70","CRUX_unfiltered_80","CRUX_unfiltered_90","CRUX_unfiltered_95","Silva_60","Silva_70","Silva_80","Silva_90","Silva_95"
"correct",0.875,0.861111111111111,0.777777777777778,0.666666666666667,0.5,0.736111111111111,0.722222222222222,0.638888888888889,0.416666666666667,0.305555555555556,0.680555555555556,0.680555555555556,0.680555555555556,0.666666666666667,0.666666666666667
"wrong",0.0138888888888889,0.0138888888888889,0.0138888888888889,0.0138888888888889,0,0.0694444444444444,0.0138888888888889,0.0138888888888889,0,0,0.236111111111111,0.222222222222222,0.166666666666667,0.138888888888889,0.0972222222222222
"ambiguous call",0.111111111111111,0.125,0.208333333333333,0.319444444444444,0.5,0.194444444444444,0.263888888888889,0.347222222222222,0.583333333333333,0.694444444444444,0.0833333333333333,0.0972222222222222,0.152777777777778,0.194444444444444,0.236111111111111
