"","blast
blca","bowtie2
blca","Qiime
blast","Qiime
sklearn","Qiime
vsearch"
"correct",0.906666666666667,0.908888888888889,0.828888888888889,0.917777777777778,0.826666666666667
"wrong",0.00444444444444444,0.00444444444444444,0.00666666666666667,0.00888888888888889,0.0155555555555556
"ambig",0.0888888888888889,0.0866666666666667,0.164444444444444,0.0733333333333333,0.157777777777778
