"","blast
blca","bowtie2
blca","Qiime
blast","Qiime
sklearn","Qiime
vsearch"
"correct",0.833333333333333,0.833333333333333,0.638888888888889,0.819444444444444,0.680555555555556
"wrong",0.0694444444444444,0.0694444444444444,0,0.138888888888889,0
"ambig",0.0972222222222222,0.0972222222222222,0.361111111111111,0.0416666666666667,0.319444444444444
