"","blast
blca","bowtie2
blca","Qiime
blast","Qiime
sklearn","Qiime
vsearch"
"correct",0.805555555555556,0.791666666666667,0.611111111111111,0.833333333333333,0.638888888888889
"wrong",0.0694444444444444,0.0833333333333333,0,0.111111111111111,0.0416666666666667
"ambig",0.125,0.125,0.388888888888889,0.0555555555555556,0.319444444444444
