Taxonomy	HiSeq_Length	MiSeq_Length
Arthropoda;Malacostraca;Decapoda;Palaemonidae;;Palaemonidae sp. BOLD:ACG8330	0	0.005945657
Annelida;Polychaeta;;;;Polychaeta sp. BOLD:ACQ1281	0	0.005648374
Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0.004596036	0
Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Atelecyclus;Atelecyclus sp. BOLD:ACA3968	0.00270355	0
Porifera;Demospongiae;Poecilosclerida;;;	0.00270355	0
Annelida;Polychaeta;Eunicida;Amphinomidae;Hermodice;Hermodice carunculata	0.001892485	0
Annelida;Polychaeta;Sabellida;Sabellidae;Branchiomma;Branchiomma bairdi	0.001892485	0
Chordata;Ascidiacea;Stolidobranchia;Styelidae;Symplegma;Symplegma brakenhielmi	0.001892485	0
Chordata;Aves;;;;	0.001892485	0
Echinodermata;Ophiuroidea;Ophiurida;;;Ophiurida sp. FLTWO134-14	0.001892485	0
Arthropoda;Malacostraca;Amphipoda;;;Amphipoda sp. BOLD:ACQ1440	0.00162213	0
Arthropoda;Malacostraca;Amphipoda;Niphargidae;Niphargus;Niphargus gallicus	0.00162213	0
Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum	0.00162213	0
;Florideophyceae;;;;	0.001351775	0
Arthropoda;Insecta;Lepidoptera;Geometridae;Pero;Pero morrisonaria	0.001351775	0
Annelida;Clitellata;Haplotaxida;Megascolecidae;Metaphire;Metaphire bununa	0.00108142	0
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;	0.00108142	0
Mollusca;Gastropoda;;Bithyniidae;Bithynia;Bithynia siamensis	0.00108142	0
Arthropoda;Arachnida;Araneae;Lycosidae;Hog;Hogna radiata	0	0.000891849
;Florideophyceae;Gigartinales;Kallymeniaceae;Leiomenia;Leiomenia sp. _1Nor	0.000811065	0
;Florideophyceae;Gracilariales;Gracilariaceae;Gracilaria;Gracilaria vermiculophylla	0.000811065	0
Arthropoda;Insecta;;;;	0.000811065	0
Arthropoda;Malacostraca;Amphipoda;;;Amphipoda sp. BOLD:ACQ7829	0.000811065	0
Arthropoda;Malacostraca;Decapoda;Ocypodidae;Ocypode;Ocypode ceratophthalmus	0.000811065	0
;Florideophyceae;Gigartinales;Peyssonneliaceae;Ramicrusta;	0.00054071	0
Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus improvisus	0.00054071	0
Chordata;Actinopteri;;;;	0.00054071	0
Chordata;Actinopteri;Cypriniformes;Cyprinidae;Pseudorasbora;Pseudorasbora parva	0.00054071	0
Mollusca;Gastropoda;;;;	0.00054071	0
Porifera;Demospongiae;Poecilosclerida;Microcionidae;Clathria;Clathria schoenus	0.00054071	0
Grand Total		
