	taxon	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
48	NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium sp. CAL-2011c	7.0	0.0	0.0	0.0	0.0	0.0
49	Nematoda;Chromadorea;Rhabditida	0.0	0.0	64.0	0.0	0.0	0.0
50	Rotifera;Bdelloidea;Adinetida;Adinetidae;Adineta;Adineta vaga	118.0	0.0	0.0	0.0	0.0	0.0
51	Rotifera;Bdelloidea;Philodinida;Philodinidae	0.0	25.0	0.0	0.0	0.0	0.0
52	Unassigned	2.0	0.0	98.0	0.0	0.0	0.0
53	All	29608.0	19227.0	29291.0	52397.0	48148.0	45956.0
54	;Oomycetes;Pythiales;Pythiaceae;Pythium	0.0	0.0	0.0	7.0	0.0	0.0
55	Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1	0.0	0.0	0.0	0.0	0.0	617.0
56	Arthropoda;Insecta;Coleoptera;Scarabaeidae;Mimeoma;Mimeoma maculata	0.0	0.0	0.0	0.0	2.0	0.0
57	Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Haplothrips;Haplothrips tenuipennis	0.0	0.0	0.0	0.0	116.0	0.0
58	Ascomycota;;;;Monocillium;Monocillium mucidum	0.0	0.0	0.0	8.0	0.0	0.0
59	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Sphaerulina;Sphaerulina musiva	0.0	0.0	0.0	1.0	0.0	1.0
60	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. ShG4C	0.0	0.0	0.0	87.0	8.0	122.0
61	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum;Microsporum canis	0.0	0.0	0.0	0.0	65.0	0.0
62	Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;Hypogymnia vittata	0.0	0.0	0.0	0.0	12.0	9.0
63	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Ricasolia;Ricasolia amplissima	0.0	0.0	0.0	334.0	262.0	123.0
64	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola atra	0.0	0.0	0.0	0.0	61.0	0.0
65	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola levissima	0.0	0.0	0.0	0.0	0.0	4.0
66	Ascomycota;Leotiomycetes;;Myxotrichaceae;Myxotrichum;Myxotrichum deflexum	0.0	0.0	0.0	0.0	38.0	299.0
67	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus	0.0	0.0	0.0	106.0	0.0	0.0
68	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus destructans	0.0	0.0	0.0	0.0	0.0	27.0
69	Ascomycota;Leotiomycetes;Helotiales;;Phialocephala	0.0	0.0	0.0	75.0	0.0	7.0
70	Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Synchaetomella;Synchaetomella acerina	0.0	0.0	0.0	0.0	76.0	0.0
71	Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium nonalfalfae	0.0	0.0	0.0	0.0	7.0	0.0
72	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Gliomastix;Gliomastix murorum	0.0	0.0	0.0	12.0	0.0	0.0
73	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria	0.0	0.0	0.0	13.0	12.0	0.0
74	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CD14-1	0.0	0.0	0.0	18.0	0.0	0.0
75	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium muscarium	0.0	0.0	0.0	22.0	0.0	0.0
76	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Calonectria;Calonectria colhounii	0.0	0.0	0.0	0.0	8.0	0.0
77	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.0	0.0	0.0	1.0	0.0	1649.0
78	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sacchari	0.0	0.0	0.0	3223.0	205.0	0.0
79	Ascomycota;Sordariomycetes;Sordariales	0.0	0.0	0.0	112.0	25.0	0.0
80	Ascomycota;Sordariomycetes;Sordariales;;Madurella;Madurella mycetomatis	0.0	0.0	0.0	49.0	0.0	730.0
81	Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces thermophila	0.0	0.0	0.0	48.0	0.0	96.0
82	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia acrosphaeria	0.0	0.0	0.0	0.0	127.0	0.0
83	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella cf. hydrophila TRTC155552	0.0	0.0	0.0	0.0	24.0	0.0
84	Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Lepista;Lepista nuda	0.0	0.0	0.0	2441.0	0.0	0.0
85	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella variabilis	0.0	0.0	0.0	0.0	47.0	0.0
86	Eustigmatophyceae;;Eustigmatales;Eustigmataceae;Eustigmatos;Eustigmatos magnus	0.0	0.0	0.0	0.0	41.0	0.0
87	NA;;;Hartmannellidae;Saccamoeba;Saccamoeba sp. MSED6	0.0	0.0	0.0	60.0	0.0	0.0
88	NA;;Stemonitida;Stemonitidae;Stemonitis;Stemonitis flavogenita	0.0	0.0	0.0	1.0	1.0	0.0
89	NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium sp. NVA/RUS/2008	0.0	0.0	0.0	10.0	0.0	6.0
90	Nematoda;Chromadorea;Rhabditida;Rhabditidae;Oscheius;Oscheius onirici	0.0	0.0	0.0	0.0	0.0	64.0
91	Phaeophyceae;;Ectocarpales;Chordariaceae;Laminariocolax;Laminariocolax aecidioides	0.0	0.0	0.0	0.0	0.0	39.0
92	Phaeophyceae;;Laminariales;Laminariaceae;Postelsia;Postelsia palmaeformis	0.0	0.0	0.0	40.0	22.0	0.0
93	Rotifera;Bdelloidea;Philodinida	0.0	0.0	0.0	0.0	25.0	0.0
94	Rotifera;Bdelloidea;Philodinida;Philodinidae;Macrotrachela;Macrotrachela quadricornifera	0.0	0.0	0.0	118.0	0.0	0.0
95	Xanthophyceae;;Botrydiales;Botrydiaceae;Botrydium;Botrydium granulatum	0.0	0.0	0.0	0.0	6.0	0.0
96	Xanthophyceae;;Mischococcales;Botryidiopsidaceae;Botrydiopsis;Botrydiopsis alpina	0.0	0.0	0.0	56.0	123.0	0.0
