	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
40	Chordata;Aves;Passeriformes;Corvidae;Aphelocoma;Aphelocoma californica	27.0	0.0	0.0	0.0	27.0	3.0	0.0	61.0	64.0
41	Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus brachyrhynchos	3.0	0.0	0.0	0.0	3.0	4.0	0.0	81.0	85.0
42	Chordata;Aves;Passeriformes;Passerellidae;Kieneria;Kieneria crissalis	3.0	0.0	0.0	0.0	3.0	3.0	0.0	64.0	67.0
43	Chordata;Mammalia;;Cervidae;Odocoileus;Odocoileus virginianus	4.0	0.0	0.0	0.0	4.0	4.0	0.0	124.0	128.0
44	Chordata;Mammalia;Chiroptera;Vespertilionidae;Eptesicus;Eptesicus fuscus	2.0	0.0	0.0	0.0	2.0	1.0	0.0	80.0	81.0
45	Rotifera;Bdelloidea	33.0	0.0	0.0	0.0	33.0	18.0	0.0	1875.0	1893.0
46	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina	15.0	0.0	0.0	0.0	15.0	0.0	0.0	757.0	757.0
47	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina sp. CWB-2005	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
48	Unassigned	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
49	All	1766.0	146.0	27.0	3.0	1942.0	5394.0	35.0	452001.0	457430.0
50	;;;Paramoebidae;Cunea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
51	;;;Vannellidae;Paravannella;Paravannella minima	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
52	;;Himatismenida;;Parvamoeba;Parvamoeba rugata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
53	;;Himatismenida;Cochliopodiidae;Cochliopodium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	37.0
54	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium kieliense	0.0	0.0	0.0	0.0	0.0	315.0	0.0	2.0	317.0
55	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	61.0
56	;;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia kanyakumariensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	20.0
58	;Florideophyceae	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2983.0	2985.0
59	;Florideophyceae;Batrachospermales;Batrachospermaceae;Sheathia;Sheathia involuta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1570.0	1570.0
60	;Florideophyceae;Ceramiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2702.0	2702.0
61	;Florideophyceae;Ceramiales;Ceramiaceae;Ptilota;Ptilota hypnoides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
62	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
63	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena;Hymenena sp. 3GWS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0
64	;Florideophyceae;Ceramiales;Delesseriaceae;Martensia;Martensia jejuensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3935.0	3935.0
