	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
169	Arthropoda;Insecta;Neuroptera;Chrysopidae;Apochrysa;Apochrysa matsumurae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0
170	Arthropoda;Insecta;Trichoptera;Ecnomidae;Agmina;Agmina rhara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
171	Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;Gammarus minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
172	Arthropoda;Malacostraca;Amphipoda;Phronimidae;Phronimella;Phronimella elongata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	245.0
173	Arthropoda;Malacostraca;Decapoda;Cryptochiridae;Opecarcinus;Opecarcinus hypostegus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	159.0
174	Arthropoda;Malacostraca;Decapoda;Ocypodidae;Minuca;Minuca zacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175	Arthropoda;Malacostraca;Decapoda;Potamonautidae;Liberonautes;Liberonautes rubigimanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
176	Arthropoda;Malacostraca;Isopoda;Ligiidae;Ligia;Ligia hawaiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
177	Arthropoda;Maxillopoda;Calanoida;Calocalanidae;Calocalanus;Calocalanus tenuis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178	Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	40.0
179	Arthropoda;Maxillopoda;Calanoida;Mecynoceridae;Mecynocera;Mecynocera clausi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	77.0
180	Arthropoda;Maxillopoda;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus affinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
181	Ascomycota;;;;Monocillium;Monocillium mucidum	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
182	Ascomycota;;;;Tetracladium;Tetracladium setigerum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
183	Ascomycota;Dothideomycetes;Capnodiales	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	24.0
184	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-3	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
185	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-5	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	16.0
186	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1186.0	1186.0
187	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;Cercospora sojina	0.0	0.0	0.0	0.0	0.0	19.0	0.0	19.0	38.0
188	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium;Zasmidium cellare	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
189	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zymoseptoria;Zymoseptoria tritici	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	8.0
190	Ascomycota;Dothideomycetes;Pleosporales	0.0	0.0	0.0	0.0	0.0	82.0	0.0	7997.0	8079.0
191	Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;Shiraia bambusicola	0.0	0.0	0.0	0.0	0.0	20.0	0.0	816.0	836.0
192	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella pinodes	0.0	0.0	0.0	0.0	0.0	25.0	0.0	2417.0	2442.0
193	Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum	0.0	0.0	0.0	0.0	0.0	13.0	0.0	2363.0	2376.0
194	Ascomycota;Eurotiomycetes	0.0	0.0	0.0	0.0	0.0	11.0	0.0	84.0	95.0
195	Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana	0.0	0.0	0.0	0.0	0.0	266.0	0.0	7145.0	7411.0
196	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus fumigatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
197	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus nomius	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	19.0
198	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicilliopsis;Penicilliopsis zonata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	39.0
199	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium citrinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	165.0
200	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium fellutanum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
201	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium nordicum	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	12.0
202	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium restrictum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
203	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	621.0	621.0
204	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. ShG4C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1291.0	1291.0
205	Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
206	Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces verruculosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
207	Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Mycocalicium;Mycocalicium subtile	0.0	0.0	0.0	0.0	0.0	31.0	0.0	430.0	461.0
208	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae	0.0	0.0	0.0	0.0	0.0	0.0	4.0	160.0	164.0
209	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma;Arthroderma uncinatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	140.0
210	Ascomycota;Lecanoromycetes	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
211	Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Phyllopsora;Phyllopsora corallina	0.0	0.0	0.0	0.0	0.0	17.0	0.0	48.0	65.0
212	Ascomycota;Lecanoromycetes;Peltigerales;Peltigeraceae;Peltigera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
213	Ascomycota;Leotiomycetes;;;Leohumicola	0.0	0.0	0.0	0.0	0.0	31.0	0.0	2832.0	2863.0
214	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola lenta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	831.0	831.0
215	Ascomycota;Leotiomycetes;;Myxotrichaceae;Myxotrichum;Myxotrichum deflexum	0.0	0.0	0.0	0.0	0.0	529.0	0.0	25806.0	26335.0
216	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus destructans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	130.0
217	Ascomycota;Leotiomycetes;Helotiales;;Phialocephala	0.0	0.0	0.0	0.0	0.0	50.0	0.0	590.0	640.0
218	Ascomycota;Leotiomycetes;Helotiales;;Rhynchosporium;Rhynchosporium orthosporum	0.0	0.0	0.0	0.0	0.0	4.0	0.0	861.0	865.0
219	Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Synchaetomella;Synchaetomella acerina	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
220	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Cairneyella;Cairneyella variabilis	0.0	0.0	0.0	0.0	0.0	37.0	0.0	2388.0	2425.0
221	Ascomycota;Sordariomycetes;Diaporthales;Diaporthaceae;Diaporthe;Diaporthe longicolla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	27.0
222	Ascomycota;Sordariomycetes;Glomerellales;Australiascaceae;Monilochaetes;Monilochaetes infuscans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	45.0
223	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum lindemuthianum	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	14.0
224	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Glomerella;Glomerella glycines	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
225	Ascomycota;Sordariomycetes;Hypocreales;;Acremonium;Acremonium cf. chrysogenum DAOM 226667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	61.0
226	Ascomycota;Sordariomycetes;Hypocreales;;Acremonium;Acremonium chrysogenum	0.0	0.0	0.0	0.0	0.0	6.0	0.0	81.0	87.0
227	Ascomycota;Sordariomycetes;Hypocreales;;Emericellopsis;Emericellopsis minima	0.0	0.0	0.0	0.0	0.0	10.0	0.0	83.0	93.0
228	Ascomycota;Sordariomycetes;Hypocreales;;Sarocladium;Sarocladium implicatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	105.0
229	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
230	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys compactiuscula	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0
231	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
232	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia chlamydosporia	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	144.0
233	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria	0.0	0.0	0.0	0.0	0.0	72.0	0.0	50373.0	50445.0
234	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria bassiana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
235	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria caledonica	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	7.0
236	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps militaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	261.0
237	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CD14-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
238	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CSM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
239	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium muscarium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
240	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium saksenae	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
241	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Calonectria;Calonectria colhounii	0.0	0.0	0.0	0.0	0.0	24.0	0.0	106.0	130.0
242	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cosmospora;Cosmospora meliopsicola	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
243	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.0	0.0	0.0	0.0	0.0	3.0	6.0	269.0	278.0
244	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium coeruleum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	49.0
245	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	281.0
246	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sacchari	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
247	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Ilyonectria;Ilyonectria destructans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.0
248	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;Nectria cinnabarina	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
249	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria ditissima	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	161.0
250	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Pseudocosmospora;Pseudocosmospora vilior	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	15.0
251	Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
252	Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Hirsutella;Hirsutella rhossiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	114.0
253	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640.0	640.0
254	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix schenckii	0.0	0.0	0.0	0.0	0.0	2.0	0.0	101.0	103.0
255	Ascomycota;Sordariomycetes;Sordariales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	143.0
256	Ascomycota;Sordariomycetes;Sordariales;;Madurella;Madurella mycetomatis	0.0	0.0	0.0	0.0	0.0	6.0	0.0	229.0	235.0
257	Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora crassa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449.0	449.0
258	Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium;Arthrinium arundinis	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	41.0
259	Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
260	Bacillariophyta;Bacillariophyceae;Naviculales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
261	Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Haslea;Haslea pseudostrearia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
262	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
263	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia neglectiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
264	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia sp. 10 CS-2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265	Bacillariophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Sellaphora;Sellaphora pupula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	375.0
266	Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. MBTD-CMFRI-S045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
267	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
268	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema costatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	22.0
269	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema potamos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	21.0
270	Basidiomycota;Agaricomycetes;Agaricales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	44.0
271	Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;Entoloma aff. sericionitidum MUSH143-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	43.0
272	Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	128.0
273	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	0.0	0.0	0.0	0.0	0.0	2.0	0.0	124.0	126.0
274	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella aff. gracilis TRTC155531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
275	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella candolleana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
276	Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum;Schizophyllum commune	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	78.0
277	Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium;Hericium coralloides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
278	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora;Thelephora ganbajun	0.0	0.0	0.0	0.0	0.0	12.0	0.0	554.0	566.0
279	Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	94.0
280	Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	84.0
281	Chordata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	29.0
282	Chordata;Actinopteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	43.0
283	Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284	Chordata;Actinopteri;Characiformes;Characidae;Hollandichthys;Hollandichthys multifasciatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
285	Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
286	Chordata;Actinopteri;Siluriformes	0.0	0.0	0.0	0.0	0.0	2.0	0.0	41.0	43.0
287	Chordata;Amphibia;Anura;Hylidae;Pseudacris;Pseudacris cadaverina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	54.0
288	Chordata;Amphibia;Caudata;Hynobiidae;Batrachuperus;Batrachuperus yenyuanensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
289	Chordata;Aves;Piciformes;Picidae;Melanerpes;Melanerpes formicivorus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	66.0
290	Chordata;Aves;Trochiliformes;Trochilidae;Selasphorus;Selasphorus rufus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	60.0
291	Chordata;Mammalia;Carnivora;Canidae;Canis;Canis latrans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	31.0
292	Chordata;Mammalia;Carnivora;Canidae;Lycalopex;Lycalopex sechurae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
293	Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	32.0
294	Chordata;Mammalia;Didelphimorphia;Didelphidae;Marmosa;Marmosa murina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295	Chordata;Mammalia;Diprotodontia;Potoroidae;Potorous;Potorous tridactylus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
296	Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	17.0
297	Chordata;Mammalia;Rodentia;Muridae;Mus;Mus musculus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	87.0
298	Chordata;Mammalia;Rodentia;Muridae;Rattus;Rattus norvegicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	121.0
299	Cnidaria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0
300	Cnidaria;Anthozoa;Scleractinia;Astrocoeniidae;Palauastrea;Palauastrea sp. YC-2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	60.0
301	Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia sp. SL-2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
302	Cnidaria;Hydrozoa;Anthoathecata;Tubulariidae;Ectopleura;Ectopleura crocea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
303	Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia gracilis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0
304	Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	28.0
305	Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia sp. BO-2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
306	Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Lensia;Lensia campanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
307	Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Cucumaria;Cucumaria frondosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0
308	Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;Octopus vulgaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	99.0
309	Mollusca;Cephalopoda;Teuthida;Ommastrephidae;Eucleoteuthis;Eucleoteuthis luminosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	46.0
310	Mollusca;Gastropoda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1728.0	1728.0
311	Mollusca;Gastropoda;;Annulariidae;Adamsiella;Adamsiella xanthostoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	255.0
312	Mollusca;Gastropoda;;Annulariidae;Parachondria;Parachondria lineolatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.0	327.0
313	Mollusca;Gastropoda;;Conidae;Conus;Conus tulipa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
314	Mollusca;Gastropoda;;Planorbidae;Bulinus;Bulinus truncatus	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
315	Mollusca;Gastropoda;;Pomatiidae;Leonia;Leonia mamillaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316	Mollusca;Gastropoda;;Tegulidae;Tegula;Tegula pelliserpentis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	41.0
317	Mollusca;Gastropoda;Nudibranchia;Dotidae;Doto;Doto lemchei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
318	Mollusca;Gastropoda;Nudibranchia;Fionidae;Eubranchus;Eubranchus pallidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	166.0
319	Mollusca;Gastropoda;Stylommatophora;Agriolimacidae;Deroceras;Deroceras laeve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	459.0	459.0
320	Mollusca;Gastropoda;Stylommatophora;Camaenidae;Amplirhagada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1606.0	1606.0
321	Mollusca;Gastropoda;Stylommatophora;Camaenidae;Setobaudinia;Setobaudinia rectilabrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0
322	Mollusca;Gastropoda;Stylommatophora;Helicarionidae;Parmavitrina;Parmavitrina planilabris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	603.0	603.0
323	Mollusca;Gastropoda;Stylommatophora;Helicidae;Marmorana;Marmorana signata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	21.0
324	Mollusca;Gastropoda;Stylommatophora;Orculidae;Orcula;Orcula restituta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	71.0
325	Mollusca;Gastropoda;Stylommatophora;Streptaxidae;Gonaxis;Gonaxis cf. cressyi 'Usambara'	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	107.0
326	Mollusca;Gastropoda;Stylommatophora;Streptaxidae;Gulella;Gulella planti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
327	Mucoromycota;;Mucorales;Lichtheimiaceae;Lichtheimia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
328	Mucoromycota;;Mucorales;Lichtheimiaceae;Lichtheimia;Lichtheimia ramosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
329	NA;;;Hartmannellidae;Vermamoeba;Vermamoeba vermiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	125.0
330	NA;;;Paramoebidae;Cunea;Cunea thuwala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1080.0	1080.0
331	NA;;;Vannellidae;Vannella;Vannella pentlandii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	195.0
332	NA;;;Vexilliferidae;Vexillifera;Vexillifera expectata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	127.0
333	NA;;Arcellinida;Hyalospheniidae;Longinebela;Longinebela meisterfeldi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0
334	NA;;Arcellinida;Hyalospheniidae;Nebela;Nebela penardiana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1688.0	1688.0
335	NA;;Cercomonadida;Cercomonadidae;Paracercomonas;Paracercomonas marina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	61.0
336	NA;;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis pouchetii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0
337	NA;;Physariida;Didymiaceae;Didymium;Didymium iridis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	163.0
