	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
35	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria veuillotiana	14.0	3.0	9.0	428.0	3336.0	10582.0	454.0	77.0	1895.0	454.0	77.0	1895.0
36	Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;Pluteus cervinus	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Chordata;Amphibia;Anura;Pelobatidae;Spea;Spea bombifrons	0.0	11.0	9.0	0.0	345.0	434.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Chordata;Amphibia;Caudata;Plethodontidae;Batrachoseps;Batrachoseps nigriventris	16.0	0.0	1.0	0.0	35.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Chordata;Aves;Falconiformes;Accipitridae;Accipiter;Accipiter cooperii	0.0	3.0	3.0	0.0	86.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Chordata;Aves;Passeriformes;Corvidae;Aphelocoma;Aphelocoma californica	26.0	0.0	1.0	0.0	20.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Chordata;Aves;Passeriformes;Corvidae;Corvus;Corvus brachyrhynchos	0.0	2.0	1.0	0.0	34.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Chordata;Aves;Passeriformes;Passerellidae;Kieneria;Kieneria crissalis	0.0	2.0	1.0	0.0	28.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Chordata;Mammalia;;Cervidae;Odocoileus;Odocoileus virginianus	0.0	1.0	3.0	0.0	59.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0
44	Chordata;Mammalia;Chiroptera;Vespertilionidae;Eptesicus;Eptesicus fuscus	0.0	0.0	2.0	0.0	35.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Rotifera;Bdelloidea	19.0	12.0	2.0	48.0	808.0	1037.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina	7.0	4.0	4.0	0.0	0.0	757.0	0.0	0.0	0.0	0.0	0.0	0.0
47	Rotifera;Bdelloidea;Philodinida;Philodinidae;Philodina;Philodina sp. CWB-2005	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	Unassigned	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	98.0	0.0	0.0	0.0
49	All	389.0	590.0	963.0	153400.0	75238.0	228792.0	29608.0	19227.0	29291.0	52397.0	48148.0	45956.0
50	;;;Paramoebidae;Cunea	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
51	;;;Vannellidae;Paravannella;Paravannella minima	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
52	;;Himatismenida;;Parvamoeba;Parvamoeba rugata	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	;;Himatismenida;Cochliopodiidae;Cochliopodium	0.0	0.0	0.0	31.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
54	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium kieliense	0.0	0.0	0.0	27.0	84.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0
55	;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	;;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia kanyakumariensis	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	;Florideophyceae	0.0	0.0	0.0	1454.0	476.0	1055.0	0.0	0.0	0.0	0.0	0.0	0.0
59	;Florideophyceae;Batrachospermales;Batrachospermaceae;Sheathia;Sheathia involuta	0.0	0.0	0.0	62.0	5.0	1503.0	0.0	0.0	0.0	0.0	0.0	0.0
60	;Florideophyceae;Ceramiales	0.0	0.0	0.0	0.0	2585.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0
61	;Florideophyceae;Ceramiales;Ceramiaceae;Ptilota;Ptilota hypnoides	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
62	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
63	;Florideophyceae;Ceramiales;Delesseriaceae;Hymenena;Hymenena sp. 3GWS	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	;Florideophyceae;Ceramiales;Delesseriaceae;Martensia;Martensia jejuensis	0.0	0.0	0.0	132.0	298.0	3505.0	0.0	0.0	0.0	0.0	0.0	0.0
65	;Florideophyceae;Ceramiales;Rhodomelaceae	0.0	0.0	0.0	0.0	36.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0
66	;Florideophyceae;Ceramiales;Rhodomelaceae;Ophidocladus;Ophidocladus simpliciusculus	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
67	;Florideophyceae;Ceramiales;Rhodomelaceae;Osmundea;Osmundea splendens	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0
68	;Florideophyceae;Ceramiales;Rhodomelaceae;Pterosiphonia;Pterosiphonia hamata	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	;Florideophyceae;Ceramiales;Rhodomelaceae;Rhodomela;Rhodomela lycopodioides	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
