	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	land4_Mi_sk	land5_Mi_sk	land6_Mi_sk	land4_Mi_b2	land5_Mi_b2	land6_Mi_b2
148	Arthropoda;Insecta;Hymenoptera;Braconidae;Meteorus;Meteorus abscissus	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0
149	Arthropoda;Insecta;Hymenoptera;Crabronidae;;Crabronidae sp. sc_04754	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150	Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus	0.0	0.0	0.0	0.0	22.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
151	Arthropoda;Insecta;Hymenoptera;Formicidae;Odontomachus	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0
152	Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole sp. YT01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	Arthropoda;Insecta;Hymenoptera;Formicidae;Veromessor;Veromessor andrei	0.0	0.0	0.0	0.0	48.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
154	Arthropoda;Insecta;Hymenoptera;Ichneumonidae	0.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0
155	Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Athalia;Athalia bicolor	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
156	Arthropoda;Insecta;Lepidoptera	0.0	0.0	0.0	1912.0	40.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0
157	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA1142	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
158	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA6720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
159	Arthropoda;Insecta;Lepidoptera;Geometridae;Casbia;Casbia sp. BOLD:AAF9584	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
160	Arthropoda;Insecta;Lepidoptera;Geometridae;Cleora	0.0	0.0	0.0	0.0	13.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
161	Arthropoda;Insecta;Lepidoptera;Lymantriidae;;Lymantriidae sp. BOLD:AAL8802	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162	Arthropoda;Insecta;Lepidoptera;Noctuidae;Acantholipes;Acantholipes sp. BOLD:AAQ0223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
163	Arthropoda;Insecta;Lepidoptera;Noctuidae;Orthosia;Orthosia praeses	0.0	0.0	0.0	0.0	16.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
164	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
165	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas;Euphydryas chalcedona	0.0	0.0	0.0	0.0	26.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
166	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Hamadryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167	Arthropoda;Insecta;Lepidoptera;Riodinidae;Emesis;Emesis sp. mandanaDHJ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168	Arthropoda;Insecta;Lepidoptera;Uraniidae;Acropteris;Acropteris nanula	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
169	Arthropoda;Insecta;Neuroptera;Chrysopidae;Apochrysa;Apochrysa matsumurae	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
170	Arthropoda;Insecta;Trichoptera;Ecnomidae;Agmina;Agmina rhara	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
171	Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;Gammarus minus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
172	Arthropoda;Malacostraca;Amphipoda;Phronimidae;Phronimella;Phronimella elongata	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
173	Arthropoda;Malacostraca;Decapoda;Cryptochiridae;Opecarcinus;Opecarcinus hypostegus	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
174	Arthropoda;Malacostraca;Decapoda;Ocypodidae;Minuca;Minuca zacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175	Arthropoda;Malacostraca;Decapoda;Potamonautidae;Liberonautes;Liberonautes rubigimanus	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
176	Arthropoda;Malacostraca;Isopoda;Ligiidae;Ligia;Ligia hawaiensis	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
177	Arthropoda;Maxillopoda;Calanoida;Calocalanidae;Calocalanus;Calocalanus tenuis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178	Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
179	Arthropoda;Maxillopoda;Calanoida;Mecynoceridae;Mecynocera;Mecynocera clausi	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180	Arthropoda;Maxillopoda;Poecilostomatoida;Corycaeidae;Corycaeus;Corycaeus affinis	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
181	Ascomycota;;;;Monocillium;Monocillium mucidum	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0
182	Ascomycota;;;;Tetracladium;Tetracladium setigerum	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183	Ascomycota;Dothideomycetes;Capnodiales	0.0	0.0	0.0	9.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
184	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-3	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185	Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-5	0.0	0.0	0.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
186	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae	0.0	0.0	0.0	571.0	8.0	607.0	0.0	0.0	0.0	0.0	0.0	0.0
187	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;Cercospora sojina	0.0	0.0	0.0	0.0	5.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
188	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium;Zasmidium cellare	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
189	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zymoseptoria;Zymoseptoria tritici	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190	Ascomycota;Dothideomycetes;Pleosporales	0.0	0.0	0.0	7583.0	248.0	248.0	1429.0	640.0	960.0	3931.0	812.0	172.0
191	Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;Shiraia bambusicola	0.0	0.0	0.0	815.0	9.0	12.0	0.0	118.0	7.0	18.0	119.0	8.0
192	Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella pinodes	0.0	0.0	0.0	1332.0	36.0	1074.0	3412.0	294.0	49.0	808.0	1.0	0.0
193	Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum	0.0	0.0	0.0	1711.0	153.0	512.0	48.0	0.0	0.0	169.0	122.0	837.0
194	Ascomycota;Eurotiomycetes	0.0	0.0	0.0	9.0	56.0	30.0	829.0	1431.0	1216.0	0.0	43.0	0.0
195	Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana	0.0	0.0	0.0	2753.0	3751.0	907.0	4482.0	850.0	1322.0	5953.0	3503.0	3435.0
196	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus fumigatus	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
197	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus nomius	0.0	0.0	0.0	1.0	5.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
198	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicilliopsis;Penicilliopsis zonata	0.0	0.0	0.0	37.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
199	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium citrinum	0.0	0.0	0.0	0.0	165.0	0.0	87.0	0.0	33.0	0.0	0.0	0.0
200	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium fellutanum	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium nordicum	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
202	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium restrictum	0.0	0.0	0.0	6.0	0.0	0.0	0.0	8.0	66.0	0.0	0.0	0.0
203	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sclerotiorum	0.0	0.0	0.0	302.0	150.0	169.0	18.0	0.0	47.0	18.0	0.0	47.0
204	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. ShG4C	0.0	0.0	0.0	0.0	1271.0	20.0	0.0	0.0	0.0	87.0	8.0	122.0
205	Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
206	Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces verruculosus	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
207	Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Mycocalicium;Mycocalicium subtile	0.0	0.0	0.0	0.0	27.0	434.0	0.0	0.0	0.0	0.0	0.0	0.0
208	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0
209	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Arthroderma;Arthroderma uncinatum	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
210	Ascomycota;Lecanoromycetes	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
211	Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Phyllopsora;Phyllopsora corallina	0.0	0.0	0.0	13.0	22.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
212	Ascomycota;Lecanoromycetes;Peltigerales;Peltigeraceae;Peltigera	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
213	Ascomycota;Leotiomycetes;;;Leohumicola	0.0	0.0	0.0	268.0	14.0	2581.0	39.0	80.0	87.0	1427.0	537.0	697.0
214	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola lenta	0.0	0.0	0.0	29.0	0.0	802.0	0.0	0.0	0.0	0.0	0.0	0.0
215	Ascomycota;Leotiomycetes;;Myxotrichaceae;Myxotrichum;Myxotrichum deflexum	0.0	0.0	0.0	639.0	574.0	25122.0	0.0	0.0	0.0	0.0	38.0	299.0
216	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus destructans	0.0	0.0	0.0	0.0	30.0	100.0	0.0	0.0	0.0	0.0	0.0	27.0
217	Ascomycota;Leotiomycetes;Helotiales;;Phialocephala	0.0	0.0	0.0	12.0	62.0	566.0	0.0	0.0	0.0	75.0	0.0	7.0
218	Ascomycota;Leotiomycetes;Helotiales;;Rhynchosporium;Rhynchosporium orthosporum	0.0	0.0	0.0	34.0	55.0	776.0	0.0	0.0	0.0	0.0	0.0	0.0
219	Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Synchaetomella;Synchaetomella acerina	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	76.0	0.0
220	Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Cairneyella;Cairneyella variabilis	0.0	0.0	0.0	2408.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
221	Ascomycota;Sordariomycetes;Diaporthales;Diaporthaceae;Diaporthe;Diaporthe longicolla	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
222	Ascomycota;Sordariomycetes;Glomerellales;Australiascaceae;Monilochaetes;Monilochaetes infuscans	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
223	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum lindemuthianum	0.0	0.0	0.0	7.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
224	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Glomerella;Glomerella glycines	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0
225	Ascomycota;Sordariomycetes;Hypocreales;;Acremonium;Acremonium cf. chrysogenum DAOM 226667	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
226	Ascomycota;Sordariomycetes;Hypocreales;;Acremonium;Acremonium chrysogenum	0.0	0.0	0.0	4.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
227	Ascomycota;Sordariomycetes;Hypocreales;;Emericellopsis;Emericellopsis minima	0.0	0.0	0.0	7.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0
228	Ascomycota;Sordariomycetes;Hypocreales;;Sarocladium;Sarocladium implicatum	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
229	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
230	Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Clonostachys;Clonostachys compactiuscula	0.0	0.0	0.0	83.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
231	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
232	Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Pochonia;Pochonia chlamydosporia	0.0	0.0	0.0	109.0	7.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
233	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria	0.0	0.0	0.0	5465.0	26.0	44954.0	0.0	0.0	0.0	13.0	12.0	0.0
234	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria bassiana	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0
235	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;Beauveria caledonica	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
236	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps militaris	0.0	0.0	0.0	26.0	187.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
237	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CD14-1	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	18.0	0.0	0.0
238	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps sp. CUHK CSM1	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
239	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium muscarium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
240	Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;Lecanicillium saksenae	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
241	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Calonectria;Calonectria colhounii	0.0	0.0	0.0	27.0	42.0	61.0	0.0	0.0	0.0	0.0	8.0	0.0
242	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Cosmospora;Cosmospora meliopsicola	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
243	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.0	0.0	0.0	50.0	45.0	183.0	0.0	0.0	0.0	1.0	0.0	1649.0
244	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium coeruleum	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
245	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum	0.0	0.0	0.0	0.0	163.0	118.0	6264.0	550.0	4241.0	6833.0	2311.0	4124.0
246	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sacchari	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3223.0	205.0	0.0
247	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Ilyonectria;Ilyonectria destructans	0.0	0.0	0.0	5.0	3.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
248	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;Nectria cinnabarina	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
249	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria ditissima	0.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0
250	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Pseudocosmospora;Pseudocosmospora vilior	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
251	Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
252	Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Hirsutella;Hirsutella rhossiliensis	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
253	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae	0.0	0.0	0.0	0.0	587.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
254	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix schenckii	0.0	0.0	0.0	2.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0
255	Ascomycota;Sordariomycetes;Sordariales	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	112.0	25.0	0.0
256	Ascomycota;Sordariomycetes;Sordariales;;Madurella;Madurella mycetomatis	0.0	0.0	0.0	94.0	21.0	120.0	0.0	0.0	0.0	49.0	0.0	730.0
257	Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora crassa	0.0	0.0	0.0	449.0	0.0	0.0	99.0	177.0	82.0	0.0	0.0	19.0
258	Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium;Arthrinium arundinis	0.0	0.0	0.0	0.0	17.0	24.0	0.0	0.0	46.0	340.0	229.0	49.0
259	Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
260	Bacillariophyta;Bacillariophyceae;Naviculales	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
261	Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Haslea;Haslea pseudostrearia	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
262	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
263	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia neglectiformis	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
264	Bacillariophyta;Bacillariophyceae;Naviculales;Pinnulariaceae;Pinnularia;Pinnularia sp. 10 CS-2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265	Bacillariophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Sellaphora;Sellaphora pupula	0.0	0.0	0.0	6.0	249.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0
266	Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. MBTD-CMFRI-S045	0.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
267	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
268	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema costatum	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
269	Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema potamos	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
270	Basidiomycota;Agaricomycetes;Agaricales	0.0	0.0	0.0	0.0	44.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0
271	Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;Entoloma aff. sericionitidum MUSH143-07	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272	Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
273	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	0.0	0.0	0.0	15.0	17.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
274	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella aff. gracilis TRTC155531	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
275	Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella candolleana	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
276	Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum;Schizophyllum commune	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
277	Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium;Hericium coralloides	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
278	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora;Thelephora ganbajun	0.0	0.0	0.0	1.0	36.0	529.0	0.0	0.0	0.0	0.0	0.0	0.0
279	Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	0.0	0.0	0.0	18.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0
280	Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	0.0	0.0	0.0	8.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0
281	Chordata	0.0	0.0	0.0	0.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
282	Chordata;Actinopteri	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
283	Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284	Chordata;Actinopteri;Characiformes;Characidae;Hollandichthys;Hollandichthys multifasciatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
285	Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
286	Chordata;Actinopteri;Siluriformes	0.0	0.0	0.0	0.0	41.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
287	Chordata;Amphibia;Anura;Hylidae;Pseudacris;Pseudacris cadaverina	0.0	0.0	0.0	0.0	21.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
288	Chordata;Amphibia;Caudata;Hynobiidae;Batrachuperus;Batrachuperus yenyuanensis	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
289	Chordata;Aves;Piciformes;Picidae;Melanerpes;Melanerpes formicivorus	0.0	0.0	0.0	0.0	25.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0
290	Chordata;Aves;Trochiliformes;Trochilidae;Selasphorus;Selasphorus rufus	0.0	0.0	0.0	0.0	27.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
291	Chordata;Mammalia;Carnivora;Canidae;Canis;Canis latrans	0.0	0.0	0.0	0.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
292	Chordata;Mammalia;Carnivora;Canidae;Lycalopex;Lycalopex sechurae	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
293	Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor	0.0	0.0	0.0	0.0	10.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
294	Chordata;Mammalia;Didelphimorphia;Didelphidae;Marmosa;Marmosa murina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
