	taxon	forward_Mi_sk	merged_Mi_sk	reverse_Mi_sk	unmerged_Mi_sk	forward_Mi_b2	merged_Mi_b2	reverse_Mi_b2	unmerged_Mi_b2
43	Eustigmatophyceae;;Eustigmatales;Eustigmataceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
44	NA;;;Hartmannellidae;Vermamoeba;Vermamoeba vermiformis	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
45	NA;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sinomuralis	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
46	NA;Dinophyceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
47	NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium catenatum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
48	NA;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium sp. CAL-2011c	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
49	Nematoda;Chromadorea;Rhabditida	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Rotifera;Bdelloidea;Adinetida;Adinetidae;Adineta;Adineta vaga	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
51	Rotifera;Bdelloidea;Philodinida;Philodinidae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
52	Unassigned	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
53	All	82.0	239.0	4.0	0.0	114.0	208.0	4.0	0.0
54	;Oomycetes;Pythiales;Pythiaceae;Pythium	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
55	Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0
56	Arthropoda;Insecta;Coleoptera;Scarabaeidae;Mimeoma;Mimeoma maculata	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
57	Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Haplothrips;Haplothrips tenuipennis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
58	Ascomycota;;;;Monocillium;Monocillium mucidum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
59	Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Sphaerulina;Sphaerulina musiva	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
60	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. ShG4C	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
61	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum;Microsporum canis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
62	Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypogymnia;Hypogymnia vittata	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
63	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Ricasolia;Ricasolia amplissima	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
64	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola atra	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
65	Ascomycota;Leotiomycetes;;;Leohumicola;Leohumicola levissima	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
66	Ascomycota;Leotiomycetes;;Myxotrichaceae;Myxotrichum;Myxotrichum deflexum	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
67	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
68	Ascomycota;Leotiomycetes;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus destructans	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
69	Ascomycota;Leotiomycetes;Helotiales;;Phialocephala	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
70	Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Synchaetomella;Synchaetomella acerina	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
71	Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium nonalfalfae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
