	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_bl	sum-reads_Hi_bl	sum-reads_Hi_bl	sum-reads_Hi_vs	sum-reads_Hi_vs	sum-reads_Hi_vs	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_sk	sum-reads_Mi_b2	sum-reads_Mi_b2	sum-reads_Mi_b2	sum-reads_Mi_bl	sum-reads_Mi_bl	sum-reads_Mi_bl	sum-reads_Mi_vs	sum-reads_Mi_vs	sum-reads_Mi_vs
ASV		forward	merged	reverse	unmerged	All	forward	merged	reverse	All	forward	reverse	All	forward	reverse	All	forward	merged	unmerged	All	forward	merged	All	forward	merged	All	forward	merged	All
18	Chlorophyta;Chlorophyceae;Chlamydomonadales	45.0	0.0	2.0	65958.0	66005.0	2130.0	0.0	0.0	2130.0	680.0	3.0	683.0	743.0	3.0	746.0	0.0	504.0	734.0	1238.0	0.0	0.0	0.0	0.0	617.0	617.0	0.0	27.0	27.0
19	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae	132.0	0.0	0.0	0.0	132.0	11.0	0.0	0.0	11.0	186.0	0.0	186.0	15.0	0.0	15.0	0.0	27.0	300.0	327.0	0.0	114.0	114.0	17.0	114.0	131.0	17.0	0.0	17.0
20	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas	1052.0	0.0	0.0	26244.0	27296.0	0.0	0.0	0.0	0.0	521.0	0.0	521.0	35.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	107.0
21	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas allensworthii	36.0	0.0	0.0	355.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas applanata	9.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas hedleyi	159.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas proboscigera	90.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas reinhardtii	181.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/139	12.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/141	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/144	12.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/154	37.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. MACC 835	763.0	0.0	0.0	244002.0	244765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1092.0	1092.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;Chloromonas reticulata	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys culleus	0.0	0.0	0.0	71.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum sp. CCAP 11/52	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	597.0	597.0
35	Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella lateralis	32.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Gonium;Gonium viridistellatum	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Chlorophyta;Chlorophyceae;Chlorosarcinales;;Chlorosarcinopsis	16.0	0.0	0.0	0.0	16.0	71.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	921.0	923.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
38	Chlorophyta;Chlorophyceae;Chlorosarcinales;;Chlorosarcinopsis;Chlorosarcinopsis eremi	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Chlorophyta;Chlorophyceae;Chlorosarcinales;;Chlorosarcinopsis;Chlorosarcinopsis sp. A KF-2011	72.0	0.0	0.0	0.0	72.0	179.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Chlorophyta;Chlorophyceae;Oedogoniales;;Oedocladium;Oedocladium prescottii	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Chlorophyta;Chlorophyceae;Oedogoniales;;Oedogonium;Oedogonium donnellii	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccaceae;Bracteacoccus;Bracteacoccus giganteus	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Chlorophyta;Trebouxiophyceae;;;Pseudostichococcus;Pseudostichococcus monallantoides	208.0	0.0	7.0	1261.0	1476.0	1303.0	0.0	0.0	1303.0	16.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	61.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	Chlorophyta;Trebouxiophyceae;;Botryococcaceae;Botryococcus;Botryococcus braunii	30.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	4.0	0.0	4.0	2.0	0.0	4412.0	4414.0	2.0	0.0	2.0	7.0	0.0	7.0	2.0	0.0	2.0
46	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella	8.0	0.0	0.0	163.0	171.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella signiensis	76.0	0.0	0.0	165.0	241.0	33.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris	50.0	0.0	0.0	49.0	99.0	366.0	0.0	0.0	366.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	42.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;Coenochloris signiensis	4.0	0.0	0.0	21.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Chlorophyta;Trebouxiophyceae;Microthamniales;;Elliptochloris;Elliptochloris perforata	4.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	Chlorophyta;Trebouxiophyceae;Microthamniales;;Stichococcus	108.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	Chlorophyta;Trebouxiophyceae;Microthamniales;;Stichococcus;Stichococcus sp. KP09AW1004	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	Chlorophyta;Trebouxiophyceae;Microthamniales;;Trebouxia	82.0	0.0	0.0	14.0	96.0	53.0	0.0	0.0	53.0	53.0	0.0	53.0	53.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	Chlorophyta;Trebouxiophyceae;Microthamniales;;Trebouxia;Trebouxia sp. TR1 LM-2014	75.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
