	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2	forward_Hi_bl	merged_Hi_bl	reverse_Hi_bl	unmerged_Hi_bl	forward_Hi_vs	merged_Hi_vs	reverse_Hi_vs	unmerged_Hi_vs
28	Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes smitti	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus saurus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	Chordata;Actinopteri;Beloniformes;Exocoetidae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	Chordata;Actinopteri;Blenniiformes	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Chordata;Actinopteri;Blenniiformes;Blenniidae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Chordata;Actinopteri;Blenniiformes;Blenniidae;Cirripectes;Cirripectes imitator	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus striatus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus nudus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0
44	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Chordata;Actinopteri;Centrarchiformes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
47	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella	7.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
48	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Labracoglossa;Labracoglossa argenteiventris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis	9.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
52	Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon;Chaetodon reticulatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	Chordata;Actinopteri;Cichliformes;Cichlidae;Geophagus;Geophagus brasiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0
56	Chordata;Actinopteri;Clupeiformes;Engraulidae;Encrasicholina;Encrasicholina punctifer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	9.0	7.0	1.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
58	Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Chordata;Actinopteri;Ephippiformes;Ephippidae;Platax;Platax orbicularis	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Chordata;Actinopteri;Gobiiformes;Gobiidae	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
61	Chordata;Actinopteri;Gobiiformes;Gobiidae;Cabillus;Cabillus sp. CBM:ZF:12221	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	Chordata;Actinopteri;Gobiiformes;Gobiidae;Eviota;Eviota prasina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	Chordata;Actinopteri;Gobiiformes;Gobiidae;Gillichthys	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	Chordata;Actinopteri;Holocentriformes;Holocentridae;Sargocentron;Sargocentron punctatissimum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Chordata;Actinopteri;Labriformes;Labridae	0.0	1.0	2.0	0.0	22.0	15.0	0.0	0.0	22.0	16.0	0.0	0.0	26.0	30.0	3.0	0.0
66	Chordata;Actinopteri;Labriformes;Labridae;Anampses;Anampses twistii	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	Chordata;Actinopteri;Labriformes;Labridae;Chlorurus;Chlorurus sordidus	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	Chordata;Actinopteri;Labriformes;Labridae;Coris;Coris gaimard	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres hortulanus	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres trimaculatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	Chordata;Actinopteri;Labriformes;Labridae;Hologymnosus;Hologymnosus doliatus	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	Chordata;Actinopteri;Labriformes;Labridae;Leptoscarus;Leptoscarus vaigiensis	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica	23.0	21.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Chordata;Actinopteri;Labriformes;Labridae;Pseudocheilinus;Pseudocheilinus hexataenia	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	Chordata;Actinopteri;Labriformes;Labridae;Scarus	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	6.0	0.0	0.0	1.0	1.0	0.0	0.0
77	Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus frenatus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus psittacus	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher	5.0	2.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
81	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma hardwicke	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;Thalassoma quinquevittatum	0.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Chordata;Actinopteri;Labriformes;Odacidae;Neoodax;Neoodax balteatus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Dipterygonotus;Dipterygonotus balteatus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pterocaesio;Pterocaesio tile	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	Chordata;Actinopteri;Myctophiformes;Myctophidae;Stenobrachius;Stenobrachius leucopsarus	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
