	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
42	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus	4.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0
45	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter	3.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0
47	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus	6.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
48	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
49	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
50	Actinobacteria;Actinobacteria;Micrococcales	5.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
51	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	1.0	0.0	0.0	0.0	9.0	0.0	0.0	15.0
52	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
54	Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
55	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	8.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
56	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
57	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter limosus	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus leptocrescens	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;Phycicoccus aerophilus	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terracoccus;Terracoccus sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	42.0	0.0	0.0	0.0	22.0	0.0	0.0	7.0
62	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
63	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces cerinus	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	21.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
66	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	4.0	0.0	0.0	0.0	27.0	0.0	0.0	5.0
67	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
68	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
71	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	31.0	0.0	0.0	0.0	36.0	0.0	0.0	7.0
72	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	5.0	0.0	0.0	0.0	23.0	0.0	0.0	2.0
73	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes cibodasensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes philippinensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
76	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	4.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0
77	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Hamadaea	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	20.0	0.0	0.0	0.0	9.0	0.0	0.0	7.0
79	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora echinaurantiaca	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
