	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
153	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	59.0	0.0	0.0	59.0	90.0	0.0	0.0	54.0	144.0
154	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter sp.	42.0	0.0	0.0	42.0	0.0	0.0	0.0	5.0	5.0
155	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Solitalea canadensis	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
156	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia albida	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
157	Chloroflexi;;;;Kouleothrix;Kouleothrix aurantiaca	278.0	0.0	0.0	278.0	563.0	0.0	0.0	1624.0	2187.0
158	Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;;Caldilineaceae bacterium enrichment culture clone Ac-G2	5.0	0.0	0.0	5.0	16.0	0.0	0.0	0.0	16.0
159	Chloroflexi;Thermomicrobia	5.0	0.0	0.0	5.0	0.0	0.0	0.0	86.0	86.0
160	Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter thermophilus	428.0	0.0	0.0	428.0	532.0	0.0	0.0	428.0	960.0
161	Chlorophyta;Chlorophyceae;Chlorosarcinales;;Chlorosarcina;Chlorosarcina brevispinosa	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0
162	Chlorophyta;Trebouxiophyceae;;;Myrmecia;Myrmecia israelensis	11.0	0.0	0.0	11.0	11.0	0.0	0.0	0.0	11.0
163	Cyanobacteria	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
164	Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus sp.	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
165	Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus sp. 138	5.0	0.0	0.0	5.0	5.0	0.0	0.0	3.0	8.0
166	Firmicutes	133.0	0.0	0.0	133.0	32.0	0.0	0.0	541.0	573.0
167	Firmicutes;Bacilli	2923.0	0.0	0.0	2923.0	222.0	0.0	0.0	63.0	285.0
168	Firmicutes;Bacilli;Bacillales	378.0	0.0	0.0	378.0	70.0	0.0	0.0	72.0	142.0
169	Firmicutes;Bacilli;Bacillales;;Exiguobacterium	2.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	9.0
170	Firmicutes;Bacilli;Bacillales;Bacillaceae	350.0	0.0	0.0	350.0	283.0	0.0	0.0	0.0	283.0
171	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	36.0	0.0	0.0	36.0	175.0	0.0	0.0	194.0	369.0
172	Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0
173	Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	8.0	0.0	0.0	8.0	14.0	0.0	0.0	34.0	48.0
174	Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus alginolyticus	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
175	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	4.0
176	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	46.0	0.0	0.0	46.0	248.0	0.0	0.0	193.0	441.0
177	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	112.0	0.0	0.0	112.0	102.0	0.0	0.0	509.0	611.0
178	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;Gemmatimonas aurantiaca	234.0	0.0	0.0	234.0	330.0	0.0	0.0	84.0	414.0
179	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;Gemmatimonas phototrophica	23.0	0.0	0.0	23.0	130.0	0.0	0.0	137.0	267.0
180	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;Gemmatimonas sp. URHD0086	211.0	0.0	0.0	211.0	391.0	0.0	0.0	443.0	834.0
181	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa;Gemmatirosa kalamazoonesis	77.0	0.0	0.0	77.0	96.0	0.0	0.0	22.0	118.0
182	Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira moscoviensis	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
183	Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira sp. enrichment culture clone LD3	15.0	0.0	0.0	15.0	15.0	0.0	0.0	12.0	27.0
184	Planctomycetes	1423.0	0.0	0.0	1423.0	104.0	0.0	0.0	0.0	104.0
185	Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Tepidisphaera;Tepidisphaera mucosa	885.0	0.0	0.0	885.0	46.0	0.0	0.0	0.0	46.0
186	Planctomycetes;Planctomycetia	22.0	0.0	0.0	22.0	173.0	0.0	0.0	298.0	471.0
187	Planctomycetes;Planctomycetia;Planctomycetales	627.0	0.0	0.0	627.0	2440.0	0.0	0.0	819.0	3259.0
188	Planctomycetes;Planctomycetia;Planctomycetales;;;Nostocoida limicola III	585.0	0.0	0.0	585.0	426.0	0.0	0.0	545.0	971.0
189	Planctomycetes;Planctomycetia;Planctomycetales;;;Planctomycetales bacterium Ellin6207	4.0	0.0	0.0	4.0	344.0	0.0	0.0	121.0	465.0
190	Planctomycetes;Planctomycetia;Planctomycetales;;;Planctomycetales bacterium Ellin7224	103.0	0.0	0.0	103.0	367.0	0.0	0.0	54.0	421.0
191	Planctomycetes;Planctomycetia;Planctomycetales;;;Planctomycete enrichment culture	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
192	Planctomycetes;Planctomycetia;Planctomycetales;;;Planctomycete enrichment culture clone E10	6.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	6.0
193	Planctomycetes;Planctomycetia;Planctomycetales;;;Planctomycete enrichment culture clone phylotype P12	33.0	0.0	0.0	33.0	40.0	0.0	0.0	23.0	63.0
194	Planctomycetes;Planctomycetia;Planctomycetales;;;bacterium Ellin5111	2.0	0.0	0.0	2.0	6.0	0.0	0.0	20.0	26.0
195	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae	47.0	0.0	0.0	47.0	123.0	0.0	0.0	24.0	147.0
196	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata	188.0	0.0	0.0	188.0	483.0	0.0	0.0	140.0	623.0
197	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata obscuriglobus	111.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0
198	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata sp. Br1-2	3.0	0.0	0.0	3.0	213.0	0.0	0.0	15.0	228.0
199	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata sp. Io1-6	9.0	0.0	0.0	9.0	42.0	0.0	0.0	0.0	42.0
200	Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata sp. SD2-6	2.0	0.0	0.0	2.0	25.0	0.0	0.0	0.0	25.0
201	Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae	9.0	0.0	0.0	9.0	221.0	0.0	0.0	14.0	235.0
202	Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Paludisphaera;Paludisphaera borealis	45.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
203	Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Singulisphaera;Singulisphaera acidiphila	29.0	0.0	0.0	29.0	19.0	0.0	0.0	31.0	50.0
204	Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae	90.0	0.0	0.0	90.0	242.0	0.0	0.0	213.0	455.0
205	Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia maris	9.0	0.0	0.0	9.0	30.0	0.0	0.0	3.0	33.0
206	Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Pirellula;Pirellula staleyi	15.0	0.0	0.0	15.0	8.0	0.0	0.0	0.0	8.0
207	Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces;Planctomyces sp.	21.0	0.0	0.0	21.0	2.0	0.0	0.0	0.0	2.0
208	Proteobacteria	1918.0	0.0	0.0	1918.0	313.0	0.0	0.0	97.0	410.0
209	Proteobacteria;Alphaproteobacteria	444.0	0.0	0.0	444.0	688.0	0.0	0.0	338.0	1026.0
210	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	95.0	0.0	0.0	95.0	136.0	0.0	0.0	77.0	213.0
211	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;Asticcacaulis biprosthecium	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
212	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	42.0	0.0	0.0	42.0	33.0	0.0	0.0	0.0	33.0
213	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	30.0	0.0	0.0	30.0	20.0	0.0	0.0	0.0	20.0
214	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter sp.	9.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
215	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter sp. enrichment culture	31.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
216	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;Phenylobacterium sp.	5.0	0.0	0.0	5.0	23.0	0.0	0.0	8.0	31.0
217	Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	3.0
218	Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium	28.0	0.0	0.0	28.0	30.0	0.0	0.0	29.0	59.0
219	Proteobacteria;Alphaproteobacteria;Rhizobiales	1579.0	0.0	0.0	1579.0	718.0	0.0	0.0	521.0	1239.0
220	Proteobacteria;Alphaproteobacteria;Rhizobiales;;;Rhizobiales bacterium	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
221	Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	2.0	0.0	0.0	2.0	228.0	0.0	0.0	0.0	228.0
222	Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia	4.0	0.0	0.0	4.0	20.0	0.0	0.0	0.0	20.0
223	Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia;Beijerinckia indica	125.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0
224	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	130.0	0.0	0.0	130.0	8.0	0.0	0.0	0.0	8.0
225	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea	22.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
226	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	719.0	0.0	0.0	719.0	717.0	0.0	0.0	508.0	1225.0
227	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas	12.0	0.0	0.0	12.0	10.0	0.0	0.0	0.0	10.0
228	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;Devosia sp.	49.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0
229	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium	10.0	0.0	0.0	10.0	8.0	0.0	0.0	0.0	8.0
230	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;Pedomicrobium australicum	11.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0	3.0
231	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;Rhodomicrobium vannielii	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
232	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes	23.0	0.0	0.0	23.0	11.0	0.0	0.0	47.0	58.0
233	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;Rhodoplanes sp. Z2-YC6860	133.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0
234	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae	112.0	0.0	0.0	112.0	956.0	0.0	0.0	393.0	1349.0
235	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	277.0	0.0	0.0	277.0	318.0	0.0	0.0	99.0	417.0
236	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium soli	31.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
237	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga	38.0	0.0	0.0	38.0	150.0	0.0	0.0	105.0	255.0
238	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Microvirga sp.	120.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0
239	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae	2.0	0.0	0.0	2.0	22.0	0.0	0.0	0.0	22.0
240	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylopila;Methylopila capsulata	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
241	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus	38.0	0.0	0.0	38.0	2.0	0.0	0.0	0.0	2.0
242	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus;Methylosinus trichosporium	11.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
243	Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	23.0	0.0	0.0	23.0	23.0	0.0	0.0	0.0	23.0
244	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	27.0	0.0	0.0	27.0	8.0	0.0	0.0	0.0	8.0
245	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Kaistia	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
246	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	23.0	0.0	0.0	23.0	23.0	0.0	0.0	0.0	23.0
247	Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium;Rhodobium orientis	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
248	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	11.0	0.0	0.0	11.0	166.0	0.0	0.0	0.0	166.0
249	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Labrys	22.0	0.0	0.0	22.0	26.0	0.0	0.0	16.0	42.0
250	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Labrys;Labrys sp.	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
251	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter	308.0	0.0	0.0	308.0	21.0	0.0	0.0	0.0	21.0
252	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;Xanthobacter autotrophicus	187.0	0.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0
253	Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;Xanthobacter flavus	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
254	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	65.0	0.0	0.0	65.0	10.0	0.0	0.0	0.0	10.0
255	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria;Ruegeria pomeroyi	11.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
256	Proteobacteria;Alphaproteobacteria;Rhodospirillales	142.0	0.0	0.0	142.0	237.0	0.0	0.0	389.0	626.0
257	Proteobacteria;Alphaproteobacteria;Rhodospirillales;;Reyranella	84.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0
258	Proteobacteria;Alphaproteobacteria;Rhodospirillales;;Reyranella;Reyranella sp.	9.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
259	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	517.0	0.0	0.0	517.0	468.0	0.0	0.0	116.0	584.0
260	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia	9.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
261	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter	45.0	0.0	0.0	45.0	15.0	0.0	0.0	0.0	15.0
262	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter;Granulibacter bethesdensis	48.0	0.0	0.0	48.0	21.0	0.0	0.0	0.0	21.0
263	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila;Rhodopila globiformis	18.0	0.0	0.0	18.0	15.0	0.0	0.0	0.0	15.0
264	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	135.0	0.0	0.0	135.0	17.0	0.0	0.0	0.0	17.0
265	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;Roseomonas sp.	30.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
266	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	379.0	0.0	0.0	379.0	403.0	0.0	0.0	387.0	790.0
267	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum	15.0	0.0	0.0	15.0	10.0	0.0	0.0	0.0	10.0
268	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;Skermanella aerolata	302.0	0.0	0.0	302.0	0.0	0.0	0.0	0.0	0.0
269	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	75.0	0.0	0.0	75.0	62.0	0.0	0.0	37.0	99.0
270	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	12.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
271	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	80.0	0.0	0.0	80.0	585.0	0.0	0.0	112.0	697.0
272	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	18.0	0.0	0.0	18.0	0.0	0.0	0.0	40.0	40.0
273	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium yanoikuyae	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
274	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	1170.0	0.0	0.0	1170.0	2736.0	0.0	0.0	1813.0	4549.0
275	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas polyaromaticivorans	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
276	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sediminicola	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
277	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp.	532.0	0.0	0.0	532.0	33.0	0.0	0.0	0.0	33.0
278	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas wittichii	1624.0	0.0	0.0	1624.0	0.0	0.0	0.0	0.0	0.0
279	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
280	Proteobacteria;Betaproteobacteria	425.0	0.0	0.0	425.0	1104.0	0.0	0.0	493.0	1597.0
281	Proteobacteria;Betaproteobacteria;Burkholderiales	1259.0	0.0	0.0	1259.0	2291.0	0.0	0.0	720.0	3011.0
282	Proteobacteria;Betaproteobacteria;Burkholderiales;;Piscinibacter;Piscinibacter aquaticus	45.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
283	Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
284	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	2435.0	0.0	0.0	2435.0	27.0	0.0	0.0	0.0	27.0
285	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	60.0	0.0	0.0	60.0	171.0	0.0	0.0	130.0	301.0
286	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea	233.0	0.0	0.0	233.0	2.0	0.0	0.0	0.0	2.0
287	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea;Pandoraea sp.	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
288	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	14.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
289	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	1033.0	0.0	0.0	1033.0	0.0	0.0	0.0	0.0	0.0
290	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	14.0	0.0	0.0	14.0	95.0	0.0	0.0	239.0	334.0
291	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	1063.0	0.0	0.0	1063.0	1005.0	0.0	0.0	558.0	1563.0
292	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caldimonas	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
293	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas aquatica	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
294	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	59.0	0.0	0.0	59.0	59.0	0.0	0.0	0.0	59.0
295	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	450.0	0.0	0.0	450.0	1437.0	0.0	0.0	829.0	2266.0
296	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas	374.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0
297	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum	580.0	0.0	0.0	580.0	6.0	0.0	0.0	0.0	6.0
298	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium	7.0	0.0	0.0	7.0	36.0	0.0	0.0	0.0	36.0
299	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;Janthinobacterium lividum	20.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
300	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;Janthinobacterium sp.	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
301	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	1331.0	0.0	0.0	1331.0	2845.0	0.0	0.0	1649.0	4494.0
302	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia albidiflava	22.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0
303	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia eurypsychrophila	16.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
304	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia sp.	200.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0
305	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia timonae	1380.0	0.0	0.0	1380.0	0.0	0.0	0.0	0.0	0.0
306	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Telluria;Telluria mixta	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
307	Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
308	Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
309	Proteobacteria;Betaproteobacteria;Nitrosomonadales	14.0	0.0	0.0	14.0	318.0	0.0	0.0	353.0	671.0
310	Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae	165.0	0.0	0.0	165.0	14.0	0.0	0.0	16.0	30.0
311	Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	353.0	0.0	0.0	353.0	53.0	0.0	0.0	0.0	53.0
312	Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;Nitrosospira sp.	56.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0
313	Proteobacteria;Betaproteobacteria;Rhodocyclales	3.0	0.0	0.0	3.0	48.0	0.0	0.0	26.0	74.0
314	Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus	164.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0
315	Proteobacteria;Deltaproteobacteria	5.0	0.0	0.0	5.0	125.0	0.0	0.0	60.0	185.0
316	Proteobacteria;Deltaproteobacteria;;;;delta proteobacterium SCGC AAA023-D14	4.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	6.0
317	Proteobacteria;Deltaproteobacteria;Myxococcales	50.0	0.0	0.0	50.0	117.0	0.0	0.0	42.0	159.0
318	Proteobacteria;Deltaproteobacteria;Myxococcales;;;Myxococcales bacterium Gsoil 473	4.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	11.0
