	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	css1_Mi_sk	css2_Mi_sk	css3_Mi_sk	sand1_Mi_sk	sand2_Mi_sk	sand3_Mi_sk	css1_Mi_b2	css2_Mi_b2	css3_Mi_b2	sand1_Mi_b2	sand2_Mi_b2	sand3_Mi_b2
21	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa	3.0	4.0	1.0	0.0	0.0	0.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
22	Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus	116.0	75.0	148.0	0.0	0.0	1.0	19.0	20.0	59.0	0.0	0.0	0.0	5.0	21.0	5.0	29.0	0.0	0.0	2.0	4.0	1.0	0.0	0.0	0.0
23	Actinobacteria	713.0	522.0	749.0	0.0	0.0	4.0	1869.0	1009.0	2459.0	0.0	0.0	0.0	78.0	192.0	135.0	72.0	475.0	334.0	66.0	87.0	133.0	65.0	274.0	178.0
24	Actinobacteria;Acidimicrobiia	2.0	2.0	2.0	0.0	0.0	0.0	4.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	97.0	0.0	1.0	0.0	1.0	2.0	5.0	1.0
25	Actinobacteria;Acidimicrobiia;;;;Acidimicrobidae bacterium Ellin7143	0.0	6.0	8.0	0.0	0.0	0.0	2.0	10.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter fluminis	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis	3.0	4.0	10.0	0.0	0.0	0.0	15.0	8.0	13.0	0.0	0.0	0.0	6.0	0.0	10.0	2.0	5.0	5.0	6.0	3.0	15.0	0.0	12.0	7.0
28	Actinobacteria;Actinobacteria	624.0	275.0	690.0	0.0	0.0	1.0	1889.0	733.0	2182.0	0.0	0.0	2.0	164.0	511.0	426.0	137.0	179.0	155.0	116.0	747.0	129.0	45.0	135.0	133.0
29	Actinobacteria;Actinobacteria;;;;actinobacterium YJF1-30	1.0	0.0	3.0	0.0	0.0	0.0	8.0	3.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Actinobacteria;Actinobacteria;Actinomycetales;;;Actinomycetales bacterium	34.0	0.0	1.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	35.0	381.0	69.0	11.0	0.0	0.0	23.0	15.0	36.0	11.0	0.0	0.0
31	Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	2.0	2.0	1.0	0.0	0.0	0.0	9.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	53.0	18.0	45.0	0.0	0.0	0.0	196.0	111.0	212.0	0.0	0.0	0.0	33.0	246.0	10.0	4.0	0.0	0.0	33.0	247.0	12.0	4.0	0.0	0.0
33	Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	Actinobacteria;Actinobacteria;Frankiales	11.0	0.0	21.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	311.0	30.0	0.0	2.0	0.0
35	Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium japonicum	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae	154.0	37.0	155.0	0.0	0.0	2.0	9.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0
37	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.	32.0	4.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	317.0	34.0	0.0	0.0	0.0	30.0	25.0	15.0	0.0	0.0	0.0
38	Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.	28.0	3.0	2.0	0.0	0.0	0.0	84.0	0.0	92.0	0.0	0.0	0.0	25.0	103.0	11.0	1.0	0.0	0.0	13.0	56.0	0.0	0.0	0.0	0.0
39	Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae	72.0	0.0	0.0	0.0	0.0	0.0	658.0	0.0	19.0	0.0	0.0	0.0	199.0	626.0	14.0	0.0	0.0	0.0	57.0	321.0	14.0	2.0	0.0	0.0
41	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus	2.0	0.0	0.0	0.0	0.0	0.0	2832.0	280.0	115.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	1037.0	894.0	92.0	1.0	0.0
42	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus	612.0	53.0	18.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	275.0	874.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens	99.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.0	834.0	242.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus	53.0	7.0	6.0	0.0	0.0	0.0	102.0	38.0	47.0	0.0	0.0	0.0	24.0	52.0	15.0	0.0	0.0	0.0	364.0	556.0	323.0	0.0	0.0	0.0
45	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus	27.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter	7.0	0.0	3.0	0.0	0.0	0.0	1269.0	8.0	41.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	465.0	246.0	763.0	6.0	0.0	0.0
47	Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus	345.0	8.0	7.0	0.0	0.0	0.0	693.0	28.0	0.0	0.0	0.0	0.0	624.0	405.0	1283.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	16.0	8.0	0.0	0.0	0.0	10.0	16.0	8.0	11.0	0.0	0.0
49	Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	5.0	0.0	1.0	0.0	0.0	0.0	24.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	Actinobacteria;Actinobacteria;Micrococcales	10.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	6.0	3.0
51	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium	0.0	0.0	2.0	0.0	0.0	0.0	177.0	551.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium linens	47.0	100.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	0.0	3.0	1.0	0.0	0.0	0.0	14.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	68.0	0.0	0.0
54	Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium	3.0	7.0	1.0	0.0	0.0	0.0	3.0	25.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	46.0	2.0	0.0	0.0	0.0	0.0	31.0	98.0	81.0	0.0	0.0	0.0	8.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0
56	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	22.0	0.0	0.0	0.0	0.0	0.0	28.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter limosus	9.0	12.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus leptocrescens	51.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;Phycicoccus aerophilus	4.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
