	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2
58	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus leptocrescens	51.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
59	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Phycicoccus;Phycicoccus aerophilus	4.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
60	Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Terracoccus;Terracoccus sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae	596.0	23.0	25.0	0.0	0.0	0.0	1289.0	86.0	13.0	0.0	0.0	0.0
62	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	0.0	4.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0	0.0	0.0	0.0
63	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces cerinus	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;Salinibacterium amurskyense	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	454.0	86.0	86.0	6.0	0.0	2.0	0.0	15.0	2.0	0.0	0.0	0.0
66	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	10.0	0.0	0.0	0.0	0.0	0.0	1670.0	441.0	424.0	40.0	0.0	33.0
67	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
68	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paenarthrobacter	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	0.0	5.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0
71	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	233.0	46.0	205.0	0.0	0.0	0.0	406.0	59.0	297.0	0.0	0.0	0.0
72	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	15.0	0.0	5.0	0.0	0.0	0.0	244.0	39.0	172.0	0.0	0.0	0.0
73	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes cibodasensis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes philippinensis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
76	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium	6.0	3.0	14.0	0.0	0.0	0.0	6.0	32.0	65.0	0.0	0.0	0.0
77	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Hamadaea	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	121.0	31.0	127.0	0.0	0.0	0.0	480.0	146.0	675.0	0.0	0.0	0.0
79	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora echinaurantiaca	7.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Salinispora	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Virgisporangium;Virgisporangium ochraceum	17.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;Nakamurella sp.	12.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	49.0	10.0	36.0	0.0	0.0	0.0	161.0	17.0	94.0	0.0	0.0	1.0
84	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;Aeromicrobium sp.	13.0	15.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella	43.0	3.0	47.0	0.0	0.0	0.0	241.0	122.0	358.0	0.0	0.0	0.0
86	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Kribbella sp.	10.0	7.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola	2.0	0.0	0.0	0.0	0.0	0.0	19.0	40.0	49.0	0.0	0.0	0.0
88	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;Marmoricola sp.	23.0	10.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	9.0	6.0	5.0	0.0	0.0	0.0	306.0	86.0	144.0	0.0	0.0	0.0
90	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides ganghwensis	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides sp.	43.0	13.0	40.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0
92	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	64.0	12.0	14.0	0.0	0.0	0.0	91.0	98.0	161.0	0.0	0.0	0.0
93	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	20.0	0.0	3.0	0.0	0.0	0.0	66.0	0.0	3.0	0.0	0.0	0.0
94	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis coloradensis	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	6.0	9.0	8.0	0.0	0.0	0.0	304.0	160.0	264.0	0.0	0.0	0.0
96	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia carboxydivorans	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia halophobica	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia sp.	41.0	19.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora	5.0	1.0	6.0	0.0	0.0	0.0	5.0	9.0	4.0	0.0	0.0	0.0
100	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Umezawaea;Umezawaea tangerina	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	32.0	19.0	22.0	0.0	1.0	0.0	129.0	89.0	226.0	0.0	0.0	0.0
103	Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae	1.0	0.0	2.0	0.0	0.0	0.0	5.0	1.0	4.0	0.0	0.0	0.0
104	Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;Actinoallomurus sp.	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter	0.0	3.0	1.0	0.0	0.0	0.0	476.0	987.0	540.0	0.0	0.0	1.0
106	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter radiotolerans	26.0	29.0	21.0	0.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0
107	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter xylanophilus	86.0	50.0	66.0	0.0	0.0	0.0	43.0	45.0	117.0	0.0	0.0	0.0
108	Actinobacteria;Thermoleophilia;Solirubrobacterales	221.0	85.0	129.0	0.0	0.0	1.0	410.0	307.0	378.0	0.0	0.0	1.0
109	Actinobacteria;Thermoleophilia;Solirubrobacterales;;;Solirubrobacterales bacterium	17.0	6.0	2.0	0.0	0.0	0.0	41.0	7.0	1.0	0.0	0.0	0.0
110	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	67.0	24.0	57.0	0.0	0.0	0.0	121.0	53.0	116.0	0.0	0.0	0.0
111	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei	16.0	6.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	72.0	56.0	80.0	0.0	0.0	1.0	271.0	316.0	280.0	0.0	0.0	1.0
113	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;Solirubrobacter phytolaccae	31.0	21.0	27.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0
114	Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	0.0	0.0	2.0	0.0	0.0	0.0	46.0	0.0	8.0	0.0	0.0	0.0
115	Ascomycota	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
116	Ascomycota;Leotiomycetes;Helotiales	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	Bacteroidetes	78.0	32.0	186.0	0.0	0.0	0.0	1447.0	23.0	268.0	0.0	0.0	3.0
118	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae	3824.0	461.0	1173.0	0.0	0.0	12.0	1978.0	633.0	1924.0	0.0	0.0	3.0
119	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	223.0	96.0	483.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
120	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga arvensicola	1.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
